age,meanSD.boys,meanSD.girls
2,2.318561061,2.207931975
3,2.116476357,2.066416278
4,2.057399303,2.1583464
5,2.33275033,2.496312829
6,2.636535808,2.725100429
7,3.116483382,3.141235808
8,3.564080752,3.635437662
9,4.02828569,4.222055377
10,4.405528134,4.741941784
11,4.763114459,5.269560519
12,4.962362565,5.514722333
13,5.342412979,5.929690456
14,5.428023871,6.013529644
15,5.670758792,6.221955633
16,5.771324301,6.284254227
17,5.683160601,6.219164444
18,5.708957279,6.37075478
19,5.779369385,6.584913605
20,5.627971777,6.502829121
21,5.453944955,6.38980461
