Varname,Description,Codings_Expr,Description details,Options,Option codes,Age
age,Age,,,,,
age * burt_previous,Age * Burt score (previous),,,,,
age * condt_previous,Age * Conduct score (previous),,,,,
age_minus1,Age,,,,,
age_minus1 * age_minus1,Age (squared),,,,,
age_minus1 * age_minus1 * age_minus1,Age (cubed),,,,,
BMI,BMI,,,,,
BREAST,Breastfeeding (months),,(range 0-12),Less than/Greater than/Less than or equal to/Greater than or equal to/Equals,</>/<=/>=/==,At birth
bthorder,Birth order,"c(""1st""=1, ""2nd""=2, ""3rd""=3, ""4th""=4, ""5th""=5)",,,,
bthorder * bthorder,Birth order (squared),,,,,
burt,Burt reading score,,,,,
burt_previous,Burt reading score (previous),,,,,
burt_previous * burt_previous,Burt reading score (previous squared),,,,,
burt11_13,Burt reading score (year 11 - 13),,,,,
burt8,Burt reading score (year 8),,,,,
burt9_13,Burt reading score (years 9 - 13),,,,,
bwgrams,Birth weight (g),,,,,
bwkg,Birth weight,,(range 1.5-5.0),Less than/Greater than/Less than or equal to/Greater than or equal to,</>/<=/>=,At birth
bwkg * bwkg,Birth weight (squared),,,,,
catpregsmk2,Cigarettes smoked per day during pregnancy,"c(""0""=0, ""1-5""=3, ""6-10""=8, ""11-20""=16, "">20""=27)",,,,
catsumchpar,Change of parents (years 1 - 5),,,,,
catsumchpar * catsumchpar,Change of parents (years 1 - 5 squared),,,,,
chkids,Kids ,,,,,
chres,Changes in residence,,,,,
chres_previous,Changes of residence previous,,,NZ Euro/Maori/Pacific/Asian,Lvl1==1/Lvl2==1/Lvl3==1/Lvl4==1,
cond,Conduct,,,,,
cond * cond,Conduct (squared),,,,,
cond_previous,Conduct (prev year),,,,,
cond6,Conduct (year 6),,,,,
cond7_10,Conduct (years 7 - 10),,,,,
condt_previous,Conduct (prev year),,,,,
dadgroup,Father status,"c(""No Father""=0, ""Birth father""=1, ""Different father to previous year""=2, ""Same father as previous year""=3)",,<20/20-24/25-29/30-34/35-39/40+,Lvl1==1/Lvl2==1/Lvl3==1/Lvl4==1/Lvl5==1/Lvl6==1,
eth_r1stfeducLvl1,Ethnicity-Father's education interaction,"c(""Notl""=0, ""NZ Euro, Tertiary Qual""=1)",,,,
eth_r1stfeducLvl2,Ethnicity-Father's education interaction,"c(""Notl""=0, ""NZ Euro, Secondary Qual""=1)",,,,
eth_r1stfeducLvl3,Ethnicity-Father's education interaction,"c(""Notl""=0, ""NZ Euro, No Formal Qual""=1)",,,,
eth_r1stfeducLvl4,Ethnicity-Father's education interaction,"c(""Notl""=0, ""Maori, Tertiary Qual""=1)",,,,
eth_r1stfeducLvl5,Ethnicity-Father's education interaction,"c(""Notl""=0, ""Maori, Secondary Qual""=1)",,,,
eth_r1stfeducLvl6,Ethnicity-Father's education interaction,"c(""Notl""=0, ""Maori, No Formal Qual""=1)",,,,
eth_r1stfeducLvl7,Ethnicity-Father's education interaction,"c(""Notl""=0, ""Pacific, Tertiary Qual""=1)",,,,
eth_r1stfeducLvl8,Ethnicity-Father's education interaction,"c(""Notl""=0, ""Pacific, Secondary Qual""=1)",,,,
eth_r1stfeducLvl9,Ethnicity-Father's education interaction,"c(""Notl""=0, ""Pacific, No Formal Qual""=1)",,,,
eth_typeofchangeLvl1,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""NZ Euro, Got new mother/mother back""=1)",,,,
eth_typeofchangeLvl10,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""Maori, Same family type as previous year""=1)",,,,
eth_typeofchangeLvl11,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""Pacific, Got new mother/mother back""=1)",,,,
eth_typeofchangeLvl12,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""Pacific, Got new fatherfaother back""=1)",,,,
eth_typeofchangeLvl13,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""Pacific, Mother left""=1)",,,,
eth_typeofchangeLvl14,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""Pacific, Father left""=1)",,,,
eth_typeofchangeLvl15,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""Pacific, Same family type as previous year""=1)",,,,
eth_typeofchangeLvl2,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""NZ Euro, Got new fatherfaother back""=1)",,,,
eth_typeofchangeLvl3,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""NZ Euro, Mother left""=1)",,,,
eth_typeofchangeLvl4,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""NZ Euro, Father left""=1)",,,,
eth_typeofchangeLvl5,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""NZ Euro, Same family type as previous year""=1)",,,,
eth_typeofchangeLvl6,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""Maori, Got new mother/mother back""=1)",,,,
eth_typeofchangeLvl7,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""Maori, Got new fatherfaother back""=1)",,,,
eth_typeofchangeLvl8,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""Maori, Mother left""=1)",,,,
eth_typeofchangeLvl9,Ethnicity-Type of Change Interaction,"c(""Not""=0, ""Maori, Father left""=1)",,,,
fage,Father's age group at child's birth,"c(""<20""=1, ""20-24""=2, ""25-29""=3, ""30-34""=4, ""35-39""=5, ""40+""=6)",,,,
fage_imputed,Imputed fathers age at birth (in years),,(ages 1-13 range 1-10),Less than/Greater than/Less than or equal to/Greater than or equal to/Equals,</>/<=/>=/==,
fage_years,Father's age in years,,(ages 1-13: range 0-70),Less than/Greater than/Less than or equal to/Greater than or equal to/Equals,</>/<=/>=/==,
fhrswrk,Father's hours worked per week,,,,,
fhrswrk_previous,Father hours worked previous,,,,,
fsmoke,Father's cigarettes smoked per day,,,Tertiary/Secondary/No formal qualification,Lvl1==1/Lvl2==1/Lvl3==1,
fsmoke_previous,Father cigarettes smoked previous,,,,,
ga,Gestational age (weeks),,,,,
gpmorb,GP visits for any morbidity,,,,,
gpmorb_previous,GP visits for any morbidity in the previous year,,,,,
gpmorb2,GP visits for any morbidity (year 2),,,,,
gpmorb3_5,GP visits for any morbidity (years 3 - 5),,,,,
gpmorb6_7,GP visits for any morbidity (years 6 - 7),,,,,
gpprev,GP visits for preventative reasons,,,,,
gpprev_previous,GP visits for preventative reasons in the previous year,,,,,
gpprev12,"GP visits for preventative reasons (years 1, 2)",,,,,
gpprev345,GP visits for preventative reasons (years 3 - 5),,,,,
gpresp,GP visits for respiratory conditions,,,,,
gpresp_previous,GP visits for respiratory conditions in the previous year,,,,,
gpresp2_5,GP visits for respiratory conditions (years 2 - 5),,,,,
gpresp6_10,GP visits for respiratory conditions (years 6 - 10),,,,,
gptotvis,GP visits,,,,,
gptotvis_Previous,GP visits in previous year,,,,,
hadmtot,Hospital admissions,,,,,
hadmtot_previous,Hospital admissions in previous year,,,,,
hadmtot2_5,Hospital admissions (years 2 - 5),,,,,
hadmtot6_10,Hospital admissions (years 6 - 10),,,,,
householdsize,Household size ,,,,,
householdsize_previous,Household size (prev year),,,,,
houtptot,Hospital outpatient visits,,,,,
houtptot_previous,Hospital outpatient visits in previous year,,,,,
houtptot2_5,Hospital outpatient visits (years 2 - 5),,,,,
houtptot6_10,Hospital outpatient visits (years 6 - 10),,,,,
ImpulsivityLvl1,Incident Impulsivity,"c(""No""=0, ""Has Impulsive""=1)",,,,
INTERACT,Maternal emotional responsiveness - old,,,,,
INTERACTadj,Maternal emotional responsiveness (higher = greater responsiveness),,(range 0-5),Less than/Greater than/Less than or equal to/Greater than or equal to/Equals,</>/<=/>=/==,
IQ,IQ,,,,,2--16
IQ_previous,IQ_previous,,,,,
IQ_previous1,IQ_previous1,,,,,
IQ_previous2,IQ_previous2,,,,,
IQ_previous3,IQ_previous3,,,,,
IQ_previous4,IQ_previous4,,,,,
