Age,Mean Diff,Lower CI,Upper CI
2,-1.4308,-1.668283025,-1.193316975
3,-1.1612,-1.419493509,-0.902906491
4,-1.27,-1.478761418,-1.061238582
5,-1.2212,-1.470925904,-0.971474096
6,-1.2444,-1.488834867,-0.999965133
7,-1.3292,-1.57894444,-1.07945556
8,-1.3612,-1.586521991,-1.135878009
9,-1.5704,-1.81790458,-1.32289542
10,-1.4812,-1.730554259,-1.231845741
11,-1.4588,-1.710259321,-1.207340679
12,-1.342,-1.581125597,-1.102874403
13,-1.4104,-1.654852148,-1.165947852
14,-1.404,-1.688768267,-1.119231733
15,-1.2704,-1.514361861,-1.026438139
16,-1.4732,-1.731650383,-1.214749617
17,-1.3936,-1.650582404,-1.136617596
18,-1.3096,-1.591600679,-1.027599321
19,-0.298,-0.531072575,-0.064927425
20,0.0692,-0.205313102,0.343713102
21,-0.1084,-0.384337662,0.167537662
,-1.361,-1.610,-1.112
