Age,Mean Diff,Lower CI,Upper CI
2,0.0284,-0.259916974,0.316716974
3,-3.6344,-3.876041885,-3.392758115
4,-3.6412,-3.865838968,-3.416561032
5,-5.1444,-5.391819696,-4.896980304
6,-4.9552,-5.172338518,-4.738061482
7,-4.9612,-5.222001054,-4.700398946
8,-4.8996,-5.142687237,-4.656512763
9,-5.1456,-5.381463225,-4.909736775
10,-5.0544,-5.305711463,-4.803088537
11,-5.4984,-5.728702382,-5.268097618
12,-5.4628,-5.674113441,-5.251486559
13,-1.6036,-1.846567656,-1.360632344
14,-1.612,-1.909759678,-1.314240322
15,-1.5232,-1.812740695,-1.233659305
16,-1.7976,-2.074620818,-1.520579182
17,-1.7908,-2.045941305,-1.535658695
18,-1.6452,-1.951532876,-1.338867124
19,-2.2132,-2.492201024,-1.934198976
20,-2.2276,-2.505195984,-1.950004016
21,-2.2604,-2.567320923,-1.953479077
,-5.140,-5.377,-4.903
