"","Age","Mean Diff","Lower CI","Upper CI"
"",2,-0.158,-0.61355302418081,0.297553024180811
"",3,0.0320000000000019,-0.599930280507458,0.663930280507462
"",4,-0.228,-0.871322927460718,0.415322927460719
"",5,-0.573999999999999,-1.1350943575532,-0.0129056424467978
"",6,-0.852000000000002,-1.36213917394599,-0.341860826054012
"",7,-0.326,-0.935492736269262,0.283492736269262
"",8,-0.288,-0.984591461881996,0.408591461881996
"",9,-1.33,-2.0263647231173,-0.633635276882695
"",10,-0.164000000000002,-0.736181530994562,0.408181530994557
"",11,-0.826,-1.26173526053961,-0.39026473946039
"",12,-0.598,-1.19068513049746,-0.00531486950254038
"",13,-0.086000000000001,-0.668596789424846,0.496596789424844
"",14,-0.257999999999999,-1.04398947562785,0.527989475627854
"",15,0.061999999999996,-0.469549422679576,0.593549422679568
"",16,-0.0179999999999977,-0.624783077723835,0.588783077723839
"",17,0.159999999999994,-0.36013934499844,0.680139344998428
"",18,-0.194000000000002,-0.943590612441494,0.555590612441491
"",19,0.027999999999999,-0.707361396710804,0.763361396710802
"",20,-0.211999999999998,-0.936295222115827,0.512295222115831
"",21,0.0160000000000051,-0.757410759120241,0.789410759120251
