"","Age","Mean Diff","Lower CI","Upper CI"
"",2,-0.0279999999999974,-0.391334677593636,0.335334677593641
"",3,-0.217999999999999,-0.981633062249834,0.545633062249835
"",4,-0.245999999999997,-0.73636118507257,0.244361185072576
"",5,-0.175999999999998,-0.663981073794848,0.311981073794852
"",6,-0.153999999999996,-0.611195049274681,0.303195049274689
"",7,0.247999999999999,-0.294148259506907,0.790148259506904
"",8,0.176000000000002,-0.396726402267714,0.748726402267718
"",9,-0.174000000000004,-0.663904908445816,0.315904908445808
"",10,-0.0320000000000041,-0.68332649421264,0.619326494212631
"",11,-0.214000000000007,-0.756349044781174,0.328349044781161
"",12,-0.270000000000001,-0.852152148984229,0.312152148984227
"",13,0.365999999999996,-0.241623072802727,0.973623072802718
"",14,-0.390000000000001,-0.857656416203289,0.0776564162032866
"",15,0.125999999999999,-0.489832617504736,0.741832617504734
"",16,0.179999999999995,-0.411918395430656,0.771918395430647
"",17,0.246000000000001,-0.425291989702751,0.917291989702753
"",18,0.109999999999997,-0.549445631805479,0.769445631805472
"",19,0.064000000000004,-0.656406273117877,0.784406273117885
"",20,-0.576000000000001,-1.18627275090898,0.0342727509089777
"",21,-0.253999999999997,-0.844323786128284,0.33632378612829
