"","Age","Mean Diff","Lower CI","Upper CI"
"",2,-0.838,-1.24684756201581,-0.429152437984194
"",3,-0.814,-1.56447465647261,-0.0635253435273889
"",4,-1.312,-1.88541446084435,-0.738585539155656
"",5,-0.992000000000001,-1.55653981393906,-0.427460186060939
"",6,-0.74,-1.20047644414662,-0.279523555853381
"",7,-0.698000000000001,-1.25474918553639,-0.141250814463613
"",8,-0.401999999999998,-1.09646905897948,0.292469058979487
"",9,-0.542000000000001,-1.01015952065596,-0.0738404793440451
"",10,-0.338000000000005,-0.934347789202222,0.258347789202212
"",11,-0.538000000000006,-1.14929892078513,0.0732989207851184
"",12,-1.24,-1.86169308926576,-0.618306910734229
"",13,-0.364000000000005,-0.8433090935545,0.11530909355449
"",14,-1.552,-2.11079787147572,-0.993202128524269
"",15,-1.042,-1.58709829386173,-0.496901706138273
"",16,-0.904000000000002,-1.53928337632411,-0.268716623675893
"",17,-0.951999999999997,-1.62345415817296,-0.280545841827035
"",18,-1.606,-2.18984132516692,-1.02215867483308
"",19,-0.578000000000001,-1.27663722315517,0.120637223155164
"",20,-0.463999999999995,-1.09904864897327,0.171048648973282
"",21,-0.0180000000000045,-0.502250250688813,0.466250250688804
