Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,0.5921,0.6024,2670,0.98,0.3258
age,,-0.1092,0.07268,2670,-1.5,0.1331
r1stchildethn,4,-0.1668,0.596,2670,-0.28,0.7796
r1stchildethn,1,-0.1668,0.596,2670,-0.28,0.7796
r1stchildethn,2,-1.1609,0.6602,2670,-1.76,0.0788
r1stchildethn,3,0,,,,
fage,,-0.07327,0.04005,2670,-1.83,0.0674
r1stfeduc,1,0.3659,0.1156,2670,3.16,0.0016
r1stfeduc,2,-0.1364,0.09588,2670,-1.42,0.1551
r1stfeduc,3,0,,,,
chres_previous,,-0.1031,0.1127,2670,-0.91,0.3604
bthorder,,-0.05293,0.04228,2670,-1.25,0.2107
mhrswrk_previous,,-0.01308,0.007854,2670,-1.66,0.096
mhrswrk_previous*mhrswrk_previous,,0.000318,0.000116,2670,2.73,0.0063
NPRESCH,,-0.4529,0.2013,2670,-2.25,0.0245
INTERACT,,-0.02772,0.02032,2670,-1.36,0.1727
age*r1stchildethn,4,-0.01375,0.07443,2670,-0.18,0.8535
age*r1stchildethn,1,-0.01375,0.07443,2670,-0.18,0.8535
age*r1stchildethn,2,0.1494,0.07972,2670,1.87,0.061
age*r1stchildethn,3,0,,,,
age*chres_previous,,0.03692,0.01305,2670,2.83,0.0047
age*NPRESCH,,0.04417,0.02192,2670,2.02,0.044
mhrswrk_previous*r1stchildethn,4,-0.00338,0.007104,2670,-0.48,0.6343
mhrswrk_previous*r1stchildethn,1,-0.00338,0.007104,2670,-0.48,0.6343
mhrswrk_previous*r1stchildethn,2,-0.01704,0.0101,2670,-1.69,0.0916
mhrswrk_previous*r1stchildethn,3,0,,,,
_Alpha,,0.9437,0.1276,,,
