Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,82.8555,18.7009,7713,4.43,<.0001
z1gender,1,-0.4416,0.201,7713,-2.2,0.0281
r1stchildethn,4,1.1341,1.2549,7713,0.9,0.3661
r1stchildethn,1,1.1341,1.2549,7713,0.9,0.3661
r1stchildethn,2,3.4587,1.3187,7713,2.62,0.0087
r1stchildethn,3,0,,,,
MAGE,,0.05212,0.02088,7713,2.5,0.0126
r1stfeduc,1,0.2384,1.1614,7713,0.21,0.8373
r1stfeduc,2,0.584,0.8918,7713,0.65,0.5126
r1stfeduc,3,0,,,,
SESBTH,1,-0.7604,1.4949,7713,-0.51,0.611
SESBTH,2,-0.07976,0.8047,7713,-0.1,0.921
SESBTH,3,0,,,,
z1single0,1,2.48,0.5881,7713,4.22,<.0001
bwkg,,-0.587,0.2204,7713,-2.66,0.0077
ga,,-2.7498,0.9785,7713,-2.81,0.005
ga*ga,,0.03781,0.01279,7713,2.96,0.0031
pregsmk,,-0.02629,0.08993,7713,-0.29,0.77
pregalc,,0.105,0.02149,7713,4.89,<.0001
fhrswrk_previous,,0.2323,0.02582,7713,9,<.0001
eth_r1stfeduc,1,-1.0511,1.2227,7713,-0.86,0.39
eth_r1stfeduc,2,-0.9247,0.9323,7713,-0.99,0.3213
eth_r1stfeduc,3,0,,,,
eth_r1stfeduc,4,-2.4764,1.458,7713,-1.7,0.0894
eth_r1stfeduc,5,-3.5184,1.0206,7713,-3.45,0.0006
eth_r1stfeduc,6,0,,,,
eth_r1stfeduc,7,0,,,,
eth_r1stfeduc,8,0,,,,
eth_r1stfeduc,9,0,,,,
SESBTH_eth,1,1.0525,1.5512,7713,0.68,0.4974
SESBTH_eth,4,0.6115,0.8648,7713,0.71,0.4795
SESBTH_eth,7,0,,,,
SESBTH_eth,2,3.8555,1.6976,7713,2.27,0.0232
SESBTH_eth,5,4.1732,0.9208,7713,4.53,<.0001
SESBTH_eth,8,0,,,,
SESBTH_eth,3,0,,,,
SESBTH_eth,6,0,,,,
SESBTH_eth,9,0,,,,
pregsmk*r1stchildethn,4,0.05479,0.09143,7713,0.6,0.549
pregsmk*r1stchildethn,1,0.05479,0.09143,7713,0.6,0.549
pregsmk*r1stchildethn,2,0.1846,0.09344,7713,1.98,0.0482
pregsmk*r1stchildethn,3,0,,,,
fhrswrk_previous*r1stchildethn,4,0.02918,0.02747,7713,1.06,0.2882
fhrswrk_previous*r1stchildethn,1,0.02918,0.02747,7713,1.06,0.2882
fhrswrk_previous*r1stchildethn,2,-0.1011,0.02918,7713,-3.47,0.0005
fhrswrk_previous*r1stchildethn,3,0,,,,
_sd,,8.762756416,1.2365,,,
