Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,39.0269,9.1026,843,4.29,<.0001
age,,0.7366,0.8344,843,0.88,0.3776
r1stchildethn,4,7.2154,9.929,843,0.73,0.4676
r1stchildethn,1,7.2154,9.929,843,0.73,0.4676
r1stchildethn,2,-0.5456,11.0097,843,-0.05,0.9605
r1stchildethn,3,0,,,,
MAGE,,-0.1164,0.1707,843,-0.68,0.4955
fage,,1.3,0.3602,843,3.61,0.0003
SESBTH,1,-0.01198,4.1417,843,0,0.9977
SESBTH,2,1.7019,2.171,843,0.78,0.4333
SESBTH,3,0,,,,
z1single0,1,2.1268,4.8413,843,0.44,0.6606
bwkg,,-1.8399,0.6459,843,-2.85,0.0045
pregsmk,,0.3207,0.2342,843,1.37,0.1712
pregsmk*pregsmk,,-0.01535,0.005328,843,-2.88,0.0041
pregalc,,0.2641,0.08836,843,2.99,0.0029
z1twin,1,1.0847,6.2317,843,0.17,0.8619
NPRESCH,,0.3164,1.189,843,0.27,0.7902
INTERACT,,-0.081,0.4417,843,-0.18,0.8545
age*r1stchildethn,4,-0.2111,0.8611,843,-0.25,0.8064
age*r1stchildethn,1,-0.2111,0.8611,843,-0.25,0.8064
age*r1stchildethn,2,1.2149,0.9604,843,1.27,0.2062
age*r1stchildethn,3,0,,,,
MAGE*r1stchildethn,4,-0.09743,0.191,843,-0.51,0.6101
MAGE*r1stchildethn,1,-0.09743,0.191,843,-0.51,0.6101
MAGE*r1stchildethn,2,-0.9812,0.2528,843,-3.88,0.0001
MAGE*r1stchildethn,3,0,,,,
SESBTH_eth,1,1.4611,4.3819,843,0.33,0.7389
SESBTH_eth,4,-1.6177,2.4175,843,-0.67,0.5036
SESBTH_eth,7,0,,,,
SESBTH_eth,2,10.6793,4.8246,843,2.21,0.0271
SESBTH_eth,5,-4.0902,2.8035,843,-1.46,0.1449
SESBTH_eth,8,0,,,,
SESBTH_eth,3,0,,,,
SESBTH_eth,6,0,,,,
SESBTH_eth,9,0,,,,
z1single0_eth,1,-1.561,5.1731,843,-0.3,0.7629
z1single0_eth,2,7.0567,5.4586,843,1.29,0.1964
z1single0_eth,3,0,,,,
pregsmk*r1stchildethn,4,0.06381,0.2125,843,0.3,0.7641
pregsmk*r1stchildethn,1,0.06381,0.2125,843,0.3,0.7641
pregsmk*r1stchildethn,2,0.6708,0.2473,843,2.71,0.0068
pregsmk*r1stchildethn,3,0,,,,
z1twin_eth,1,7.753,6.6827,843,1.16,0.2463
z1twin_eth,2,-16.8831,8.7429,843,-1.93,0.0538
z1twin_eth,3,0,,,,
NPRESCH*r1stchildethn,4,-0.8684,1.3143,843,-0.66,0.509
NPRESCH*r1stchildethn,1,-0.8684,1.3143,843,-0.66,0.509
NPRESCH*r1stchildethn,2,-5.2368,1.5167,843,-3.45,0.0006
NPRESCH*r1stchildethn,3,0,,,,
INTERACT*r1stchildethn,4,0.3155,0.5356,843,0.59,0.556
INTERACT*r1stchildethn,1,0.3155,0.5356,843,0.59,0.556
INTERACT*r1stchildethn,2,2.0112,0.7361,843,2.73,0.0064
INTERACT*r1stchildethn,3,0,,,,
_sd,,9.748743509,4.6291,,,
