Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,21.5589,2.7399,503,7.87,<.0001
z1gender,1,1.0561,0.6194,503,1.71,0.0888
z1single0,1,-2.0985,0.7892,503,-2.66,0.0081
bwkg,,-3.124,0.607,503,-5.15,<.0001
bthorder,,0.4499,0.2185,503,2.06,0.04
INTERACT,,0.3289,0.2179,503,1.51,0.1319
fsmoke_previous,,0.4521,0.03109,503,14.55,<.0001
kids,,-0.7191,0.221,503,-3.25,0.0012
fhrswrk,,-0.03096,0.01394,503,-2.22,0.0268
mhrswrk,,-0.2373,0.0553,503,-4.29,<.0001
mhrswrk*mhrswrk,,0.004049,0.001264,503,3.2,0.0014
_sd,,7.05744288,3.1407,,,
