Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-0.2432,0.2721,2285,-0.89,0.3715
r1stchildethn,4,0.06207,0.2479,2285,0.25,0.8023
r1stchildethn,1,0.06207,0.2479,2285,0.25,0.8023
r1stchildethn,2,0.3372,0.2577,2285,1.31,0.1908
r1stchildethn,3,-0.08972,0,2285,M,<.0001
MAGE,,0.006068,0.004252,2285,1.43,0.1537
r1stmeduc,1,0.003645,0.05646,2285,0.06,0.9485
r1stmeduc,2,0.005217,0.04072,2285,0.13,0.8981
r1stmeduc,3,0,,,,
z1twin,1,0.1579,0.1128,2285,1.4,0.1618
bthorder,,-0.03608,0.01872,2285,-1.93,0.0541
fhrswrk_previous,,-0.0021,0.001341,2285,-1.57,0.117
welfare_previous,1,-0.08623,0.0719,2285,-1.2,0.2305
gptotvis,,0.3206,0.1084,2285,2.96,0.0031
gpresp,,-0.0887,0.1821,2285,-0.49,0.6263
gptotvis*r1stchildethn,4,-0.08499,0.1088,2285,-0.78,0.4347
gptotvis*r1stchildethn,1,-0.08499,0.1088,2285,-0.78,0.4347
gptotvis*r1stchildethn,2,-0.1246,0.1109,2285,-1.12,0.2617
gptotvis*r1stchildethn,3,0,,,,
gpresp*r1stchildethn,4,0.1327,0.1826,2285,0.73,0.4676
gpresp*r1stchildethn,1,0.1327,0.1826,2285,0.73,0.4676
gpresp*r1stchildethn,2,0.09819,0.1859,2285,0.53,0.5973
gpresp*r1stchildethn,3,0,,,,
_Alpha,,0.1798,0.01383,,,
