Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,0.8445,0.3969,4938,2.13,0.0334
age,,-0.1202,0.06499,4938,-1.85,0.0644
r1stchildethn,4,-0.1399,0.08385,4938,-1.67,0.0953
r1stchildethn,1,-0.1399,0.08385,4938,-1.67,0.0953
r1stchildethn,2,-0.4069,0.113,4938,-3.6,0.0003
r1stchildethn,3,0,,,,
r1stmeduc,1,0.005735,0.08177,4938,0.07,0.9441
r1stmeduc,2,0.01605,0.0452,4938,0.36,0.7225
r1stmeduc,3,0,,,,
gpmorb_previous,,0.004663,0.00298,4938,1.56,0.1177
z1single_previous,1,0.06288,0.03896,4938,1.61,0.1066
fhrswrk_previous,,-0.01409,0.008914,4938,-1.58,0.114
fhrswrk_previous*fhrswrk_previous,,-0.00001,0.000026,4938,-0.47,0.6366
z1overcrowd_previous,1,0.1909,0.4067,4938,0.47,0.6388
gptotvis,,0.2197,0.008871,4938,24.77,<.0001
gpresp,,-0.06124,0.01467,4938,-4.17,<.0001
age*fhrswrk_previous,,0.002391,0.001457,4938,1.64,0.1008
age*z1overcrowd_previous,1,-0.03352,0.06706,4938,-0.5,0.6172
r1stmeduc_eth,1,0.02645,0.08905,4938,0.3,0.7664
r1stmeduc_eth,4,0.0212,0.0538,4938,0.39,0.6936
r1stmeduc_eth,7,0,,,,
r1stmeduc_eth,2,-0.1025,0.1541,4938,-0.67,0.5057
r1stmeduc_eth,5,0.02317,0.08376,4938,0.28,0.7821
r1stmeduc_eth,8,0,,,,
r1stmeduc_eth,3,0,,,,
r1stmeduc_eth,6,0,,,,
r1stmeduc_eth,9,0,,,,
fhrswrk_previous*r1stchildethn,4,-0.00069,0.00167,4938,-0.41,0.681
fhrswrk_previous*r1stchildethn,1,-0.00069,0.00167,4938,-0.41,0.681
fhrswrk_previous*r1stchildethn,2,0.006251,0.002117,4938,2.95,0.0032
fhrswrk_previous*r1stchildethn,3,0,,,,
z1overcrowd_previous_eth,1,-0.00721,0.06985,4938,-0.1,0.9178
z1overcrowd_previous_eth,2,0.09929,0.09479,4938,1.05,0.2949
z1overcrowd_previous_eth,3,0,,,,
gptotvis*r1stchildethn,4,0.02745,0.0101,4938,2.72,0.0066
gptotvis*r1stchildethn,1,0.02745,0.0101,4938,2.72,0.0066
gptotvis*r1stchildethn,2,-0.01545,0.01285,4938,-1.2,0.2294
gptotvis*r1stchildethn,3,0,,,,
gpresp*r1stchildethn,4,0.04967,0.0161,4938,3.09,0.002
gpresp*r1stchildethn,1,0.04967,0.0161,4938,3.09,0.002
gpresp*r1stchildethn,2,0.1037,0.02137,4938,4.85,<.0001
gpresp*r1stchildethn,3,0,,,,
_Alpha,,0.04558,0.003537,,,
