Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,0.173,0.1028,2646,1.68,0.0926
r1stchildethn,4,1.3825,0.08187,2646,16.89,<.0001
r1stchildethn,1,1.3825,0.08187,2646,16.89,<.0001
r1stchildethn,2,0.7044,0.08865,2646,7.95,<.0001
r1stchildethn,3,0,,,,
MAGE,,0.009714,0.002878,2646,3.38,0.0007
bthorder,,-0.07332,0.01274,2646,-5.75,<.0001
welfare_previous,1,-0.12,0.1096,2646,-1.09,0.2737
gptotvis,,0.8871,0.02188,2646,40.54,<.0001
gpresp,,0.01356,0.02251,2646,0.6,0.547
gpmorb,,-0.9131,0.02614,2646,-34.94,<.0001
welfare_previous_eth,1,0.04189,0.1277,2646,0.33,0.7429
welfare_previous_eth,2,0.4554,0.1222,2646,3.73,0.0002
welfare_previous_eth,3,0,,,,
gptotvis*r1stchildethn,4,-0.787,0.02399,2646,-32.81,<.0001
gptotvis*r1stchildethn,1,-0.787,0.02399,2646,-32.81,<.0001
gptotvis*r1stchildethn,2,-0.5571,0.02427,2646,-22.95,<.0001
gptotvis*r1stchildethn,3,0,,,,
gpresp*r1stchildethn,4,-0.05663,0.02651,2646,-2.14,0.0327
gpresp*r1stchildethn,1,-0.05663,0.02651,2646,-2.14,0.0327
gpresp*r1stchildethn,2,-0.1098,0.02657,2646,-4.13,<.0001
gpresp*r1stchildethn,3,0,,,,
gpmorb*r1stchildethn,4,0.8159,0.02899,2646,28.14,<.0001
gpmorb*r1stchildethn,1,0.8159,0.02899,2646,28.14,<.0001
gpmorb*r1stchildethn,2,0.626,0.02843,2646,22.02,<.0001
gpmorb*r1stchildethn,3,0,,,,
_sd,,0.612372436,0.01031,,,
