Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-4.8661,0.4381,14969,-11.11,<.0001
age,,1.2817,0.1061,14969,12.08,<.0001
age*age,,-0.1024,0.006553,14969,-15.63,<.0001
r1stchildethn,4,-0.321,0.2279,14969,-1.41,0.1589
r1stchildethn,1,-0.321,0.2279,14969,-1.41,0.1589
r1stchildethn,2,0.07235,0.2975,14969,0.24,0.8078
r1stchildethn,3,0,,,,
pregalc,,-0.00905,0.003591,14969,-2.52,0.0118
gpresp_previous,,-0.114,0.03247,14969,-3.51,0.0004
welfare_previous,1,-0.06203,0.03675,14969,-1.69,0.0915
NPRESCH,,0.04414,0.03991,14969,1.11,0.2687
gptotvis,,-0.0128,0.02951,14969,-0.43,0.6645
age*r1stchildethn,4,0.05877,0.0274,14969,2.14,0.032
age*r1stchildethn,1,0.05877,0.0274,14969,2.14,0.032
age*r1stchildethn,2,0.0134,0.03575,14969,0.37,0.7077
age*r1stchildethn,3,0,,,,
age*gpresp_previous,,0.02192,0.004314,14969,5.08,<.0001
age*gptotvis,,0.03036,0.003666,14969,8.28,<.0001
gpresp_previous*r1stchildethn,4,0.01967,0.01725,14969,1.14,0.2541
gpresp_previous*r1stchildethn,1,0.01967,0.01725,14969,1.14,0.2541
gpresp_previous*r1stchildethn,2,0.05471,0.02147,14969,2.55,0.0108
gpresp_previous*r1stchildethn,3,0,,,,
NPRESCH*r1stchildethn,4,-0.00094,0.04399,14969,-0.02,0.9829
NPRESCH*r1stchildethn,1,-0.00094,0.04399,14969,-0.02,0.9829
NPRESCH*r1stchildethn,2,0.1191,0.05752,14969,2.07,0.0384
NPRESCH*r1stchildethn,3,-0.01167,0,14969,M,<.0001
gptotvis*r1stchildethn,4,0.09972,0.0161,14969,6.19,<.0001
gptotvis*r1stchildethn,1,0.09972,0.0161,14969,6.19,<.0001
gptotvis*r1stchildethn,2,-0.0309,0.01876,14969,-1.65,0.0996
gptotvis*r1stchildethn,3,0,,,,
_Alpha,,0.4024,0.01634,,,
