Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,0.8155,0.06729,2645,12.12,<.0001
r1stchildethn,4,-0.00482,0.06439,2645,-0.07,0.9403
r1stchildethn,1,-0.00482,0.06439,2645,-0.07,0.9403
r1stchildethn,2,0.1422,0.08607,2645,1.65,0.0985
r1stchildethn,3,0,,,,
r1stmeduc,1,0.04351,0.04557,2645,0.95,0.3397
r1stmeduc,2,0.06013,0.03399,2645,1.77,0.077
r1stmeduc,3,0,,,,
z1single0,1,0.1164,0.06023,2645,1.93,0.0533
pregsmk,,0.005802,0.002259,2645,2.57,0.0103
NPRESCH,,0.03901,0.01878,2645,2.08,0.0379
PUNISH,,0.05921,0.04745,2645,1.25,0.2122
PUNISH*PUNISH,,-0.02288,0.0156,2645,-1.47,0.1426
gptotvis_previous,,0.05823,0.006895,2645,8.44,<.0001
kids_previous,,-0.03925,0.01248,2645,-3.15,0.0017
z1accom_previous,1,-0.09059,0.05066,2645,-1.79,0.0738
z1overcrowd_previous,1,0.07921,0.04048,2645,1.96,0.0505
PUNISH*r1stchildethn,4,-0.02227,0.04161,2645,-0.54,0.5926
PUNISH*r1stchildethn,1,-0.02227,0.04161,2645,-0.54,0.5926
PUNISH*r1stchildethn,2,-0.1394,0.05969,2645,-2.33,0.0196
PUNISH*r1stchildethn,3,0,,,,
gptotvis_previous*r1stchildethn,4,0.03481,0.009254,2645,3.76,0.0002
gptotvis_previous*r1stchildethn,1,0.03481,0.009254,2645,3.76,0.0002
gptotvis_previous*r1stchildethn,2,-0.00745,0.01049,2645,-0.71,0.4776
gptotvis_previous*r1stchildethn,3,0,,,,
_Alpha,,0.1553,0.009325,,,
