Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-18.4924,0.688,12307,-26.88,<.0001
age,,4.8288,0.1467,12307,32.91,<.0001
age*age,,-0.302,0.008335,12307,-36.23,<.0001
r1stchildethn,4,-0.04609,0.1891,12307,-0.24,0.8075
r1stchildethn,1,-0.04609,0.1891,12307,-0.24,0.8075
r1stchildethn,2,-0.5258,0.2355,12307,-2.23,0.0256
r1stchildethn,3,0,,,,
PUNISH,,-0.05884,0.04693,12307,-1.25,0.2099
INTERACT,,0.02419,0.0189,12307,1.28,0.2006
gptotvis_previous,,0.06269,0.02953,12307,2.12,0.0338
kids_previous,,-0.2624,0.08579,12307,-3.06,0.0022
fhrswrk_previous,,0.000295,0.002098,12307,0.14,0.8884
age*gptotvis_previous,,0.008655,0.00351,12307,2.47,0.0137
age*kids_previous,,0.02263,0.009977,12307,2.27,0.0233
PUNISH*r1stchildethn,4,0.05023,0.0495,12307,1.01,0.3102
PUNISH*r1stchildethn,1,0.05023,0.0495,12307,1.01,0.3102
PUNISH*r1stchildethn,2,-0.00163,0.06026,12307,-0.03,0.9784
PUNISH*r1stchildethn,3,0.006361,0,12307,I,<.0001
INTERACT*r1stchildethn,4,-0.021,0.02057,12307,-1.02,0.3075
INTERACT*r1stchildethn,1,-0.021,0.02057,12307,-1.02,0.3075
INTERACT*r1stchildethn,2,0.05976,0.02589,12307,2.31,0.021
INTERACT*r1stchildethn,3,-0.00497,0,12307,M,<.0001
fhrswrk_previous*r1stchildethn,4,0.000593,0.002222,12307,0.27,0.7897
fhrswrk_previous*r1stchildethn,1,0.000593,0.002222,12307,0.27,0.7897
fhrswrk_previous*r1stchildethn,2,-0.00273,0.002599,12307,-1.05,0.2934
fhrswrk_previous*r1stchildethn,3,0,,,,
_Alpha,,0.5363,0.01831,,,
