Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,4.8986,1.9245,17029,2.55,0.0109
age,,-1.6717,0.2167,17029,-7.71,<.0001
age*age,,0.01953,0.005719,17029,3.41,0.0006
z1gender,1,-0.6762,0.1927,17029,-3.51,0.0005
r1stchildethn,4,3.4114,0.4187,17029,8.15,<.0001
r1stchildethn,1,3.4114,0.4187,17029,8.15,<.0001
r1stchildethn,2,5.3759,0.4296,17029,12.51,<.0001
r1stchildethn,3,3.706,0,17029,I,<.0001
fage,,0.1027,0.08339,17029,1.23,0.2183
SESBTH,1,-1.6952,0.3117,17029,-5.44,<.0001
SESBTH,2,-0.7519,0.2179,17029,-3.45,0.0006
SESBTH,3,0,,,,
bwkg,,0.4109,0.1879,17029,2.19,0.0288
ga,,-0.1818,0.05451,17029,-3.33,0.0009
PUNISH,,-0.1151,0.1134,17029,-1.01,0.3104
hadmtot_previous,,0.1816,0.09791,17029,1.85,0.0637
kids_previous,,-0.02676,0.08724,17029,-0.31,0.759
householdsize_previous,,-0.3577,0.05845,17029,-6.12,<.0001
mhrswrk_previous,,-0.03039,0.006099,17029,-4.98,<.0001
mhrswrk_previous*mhrswrk_previous,,0.000148,0.000056,17029,2.64,0.0082
age*z1gender,1,0.1409,0.02043,17029,6.9,<.0001
age*r1stchildethn,4,-0.02641,0.05069,17029,-0.52,0.6024
age*r1stchildethn,1,-0.02641,0.05069,17029,-0.52,0.6024
age*r1stchildethn,2,-0.1949,0.05217,17029,-3.74,0.0002
age*r1stchildethn,3,0,,,,
age*fage,,-0.00695,0.008714,17029,-0.8,0.4252
age*SESBTH,1,0.1826,0.03107,17029,5.88,<.0001
age*SESBTH,2,0.1165,0.02368,17029,4.92,<.0001
age*SESBTH,3,0,,,,
age*bwkg,,-0.09799,0.01956,17029,-5.01,<.0001
age*ga,,0.02849,0.005797,17029,4.92,<.0001
age*PUNISH,,-0.00341,0.01177,17029,-0.29,0.7717
age*hadmtot_previous,,0.009841,0.01071,17029,0.92,0.3581
age*kids_previous,,0.009955,0.009943,17029,1,0.3168
age*householdsize_previous,,0.05463,0.006127,17029,8.92,<.0001
age*mhrswrk_previous,,0.003502,0.000585,17029,5.99,<.0001
hadmtot_previous*r1stchildethn,4,0.1728,0.0864,17029,2,0.0455
hadmtot_previous*r1stchildethn,1,0.1728,0.0864,17029,2,0.0455
hadmtot_previous*r1stchildethn,2,0.3182,0.09286,17029,3.43,0.0006
hadmtot_previous*r1stchildethn,3,0,,,,
kids_previous*r1stchildethn,4,-0.09032,0.05316,17029,-1.7,0.0893
kids_previous*r1stchildethn,1,-0.09032,0.05316,17029,-1.7,0.0893
kids_previous*r1stchildethn,2,-0.1914,0.05459,17029,-3.51,0.0005
kids_previous*r1stchildethn,3,0,,,,
