Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-1.8812,0.4105,9898,-4.83,<.0001
age,,-0.0896,0.02188,9898,1.81,0.0703
z1gender,1,0.2136,0.0513,9898,4.16,<.0001
r1stchildethn,1,0.788,0.4185,9898,1.88,0.0597
r1stchildethn,2,0.2868,0.4542,9898,0.63,0.5277
r1stchildethn,3,0,,,,
fage,,0.111,0.06188,9898,1.79,0.0729
r1stmeduc,1,0.3101,0.272,9898,1.14,0.2543
r1stmeduc,2,0.00462,0.1553,9898,0.03,0.9763
r1stmeduc,3,0,,,,
BREAST,,0.0229,0.006836,9898,3.35,0.0008
bthorder,,-0.0516,0.02585,9898,-2,0.0459
houtptot_previous,,0.1747,0.04099,9898,4.26,<.0001
fhrswrk_previous,,0.005568,0.004255,9898,1.31,0.1907
welfare_previous,1,0.3736,0.1057,9898,3.53,0.0004
z1homeown_previous,1,0.2589,0.2019,9898,1.28,0.1997
z1overcrowd_previous,1,0.234,0.1485,9898,1.58,0.115
z1chpar_previous,1,0.4609,0.2269,9898,2.03,0.0423
fage*r1stchildethn,1,-0.1664,0.06663,9898,-2.5,0.0125
fage*r1stchildethn,2,-0.03908,0.07927,9898,-0.49,0.622
fage*r1stchildethn,3,0,,,,
r1stmeduc_eth,1,-0.5203,0.2856,9898,-1.82,0.0685
r1stmeduc_eth,4,-0.1176,0.1693,9898,-0.69,0.4873
r1stmeduc_eth,7,0,,,,
r1stmeduc_eth,2,-1.3445,0.451,9898,-2.98,0.0029
r1stmeduc_eth,5,0.3239,0.1996,9898,1.62,0.1047
r1stmeduc_eth,8,0,,,,
r1stmeduc_eth,3,0,,,,
r1stmeduc_eth,6,0,,,,
r1stmeduc_eth,9,0,,,,
houtptot_previous*r1stchildethn,1,0.1501,0.04686,9898,3.2,0.0014
houtptot_previous*r1stchildethn,2,-0.02733,0.04665,9898,-0.59,0.558
houtptot_previous*r1stchildethn,3,0,,,,
fhrswrk_previous*r1stchildethn,1,-0.00465,0.004513,9898,-1.03,0.3031
fhrswrk_previous*r1stchildethn,2,0.007124,0.005303,9898,1.34,0.1792
fhrswrk_previous*r1stchildethn,3,0,,,,
z1homeown_previous_eth,1,-0.09258,0.2145,9898,-0.43,0.666
z1homeown_previous_eth,2,-0.03663,0.2383,9898,-0.15,0.8779
z1homeown_previous_eth,3,0,,,,
z1overcrowd_previous_eth,1,-0.3539,0.1727,9898,-2.05,0.0405
z1overcrowd_previous_eth,2,-0.4221,0.2076,9898,-2.03,0.0421
z1overcrowd_previous_eth,3,0,,,,
z1chpar_previous_eth,1,-0.402,0.2493,9898,-1.61,0.1069
z1chpar_previous_eth,2,-0.5917,0.2899,9898,-2.04,0.0413
z1chpar_previous_eth,3,0,,,,
_Alpha,,3.2274,0.1268,,,
