Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,2.2121,0.6509,1241,3.4,0.0007
z1gender,1,0.1062,0.04696,1241,2.26,0.024
r1stchildethn,4,-0.1029,0.3617,1241,-0.28,0.7761
r1stchildethn,1,-0.1029,0.3617,1241,-0.28,0.7761
r1stchildethn,2,-0.3444,0.3812,1241,-0.9,0.3664
r1stchildethn,3,0,,,,
MAGE,,-0.0682,0.03812,1241,-1.79,0.0739
MAGE*MAGE,,0.000846,0.000692,1241,1.22,0.2216
SESBTH,1,-0.01671,0.07604,1241,-0.22,0.8261
SESBTH,2,-0.1448,0.05544,1241,-2.61,0.0091
SESBTH,3,0,,,,
z1single0,1,0.2548,0.08991,1241,2.83,0.0047
bwkg,,-0.109,0.04452,1241,-2.45,0.0145
BREAST,,-0.00116,0.04007,1241,-0.03,0.9768
BREAST*BREAST,,0.003218,0.001797,1241,1.79,0.0736
pregsmk,,0.003717,0.003011,1241,1.23,0.2172
mean_kids1_5,,0.123,0.1205,1241,1.02,0.3077
mean_mhrswrk1_5,,-0.00369,0.003207,1241,-1.15,0.2503
mean_welfare1_5,,-0.1918,0.1152,1241,-1.67,0.096
mean_z1accom1_5,,0.2834,0.1038,1241,2.73,0.0064
mean_z1overcrowd1_5,,0.2116,0.1005,1241,2.1,0.0355
mean_z1chpar1_5,,0.5515,0.169,1241,3.26,0.0011
mean_chres1_5,,-0.1038,0.04678,1241,-2.22,0.0267
BREAST*r1stchildethn,4,-0.05024,0.03507,1241,-1.43,0.1522
BREAST*r1stchildethn,1,-0.05024,0.03507,1241,-1.43,0.1522
BREAST*r1stchildethn,2,-0.09094,0.03899,1241,-2.33,0.0198
BREAST*r1stchildethn,3,0,,,,
mean_kids1_5*r1stchildethn,4,-0.1042,0.1218,1241,-0.86,0.3924
mean_kids1_5*r1stchildethn,1,-0.1042,0.1218,1241,-0.86,0.3924
mean_kids1_5*r1stchildethn,2,0.06724,0.1298,1241,0.52,0.6044
mean_kids1_5*r1stchildethn,3,0,,,,
_Alpha,,0.1181,0.02579,,,
