Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,3.9752,0.7391,203,5.38,<.0001
r1stchildethn,4,-4.0753,1.1908,203,-3.42,0.0008
r1stchildethn,1,-4.0753,1.1908,203,-3.42,0.0008
r1stchildethn,2,-4.447,3.2326,203,-1.38,0.1704
r1stchildethn,3,0,,,,
r1stmeduc,1,-0.07799,0.1142,203,-0.68,0.4954
r1stmeduc,2,-0.1899,0.06222,203,-3.05,0.0026
r1stmeduc,3,0,,,,
r1stfeduc,1,0.1483,0.1309,203,1.13,0.2586
r1stfeduc,2,-0.04697,0.09012,203,-0.52,0.6028
r1stfeduc,3,0,,,,
SESBTH,1,-0.06282,0.1174,203,-0.54,0.5932
SESBTH,2,-0.1739,0.06125,203,-2.84,0.005
SESBTH,3,0,,,,
z1single0,1,0.165,0.08155,203,2.02,0.0443
bwkg,,0.0324,0.08454,203,0.38,0.7019
ga,,-0.01499,0.0226,203,-0.66,0.5077
pregsmk,,-0.00928,0.003979,203,-2.33,0.0207
bthorder,,0.005664,0.02806,203,0.2,0.8402
eth_r1stfeduc,1,-0.02082,0.1827,203,-0.11,0.9094
eth_r1stfeduc,2,0.000594,0.1329,203,0,0.9964
eth_r1stfeduc,3,0,,,,
eth_r1stfeduc,5,0.1844,0.1924,203,0.96,0.339
eth_r1stfeduc,6,0,,,,
eth_r1stfeduc,7,0,,,,
eth_r1stfeduc,8,0,,,,
eth_r1stfeduc,9,0,,,,
bwkg*r1stchildethn,4,-0.1897,0.1269,203,-1.49,0.1366
bwkg*r1stchildethn,1,-0.1897,0.1269,203,-1.49,0.1366
bwkg*r1stchildethn,2,-0.3249,0.1714,203,-1.9,0.0594
bwkg*r1stchildethn,3,0,,,,
ga*r1stchildethn,4,0.1058,0.03435,203,3.08,0.0023
ga*r1stchildethn,1,0.1058,0.03435,203,3.08,0.0023
ga*r1stchildethn,2,0.1472,0.08401,203,1.75,0.0813
ga*r1stchildethn,3,0,,,,
bthorder*r1stchildethn,4,0.1232,0.03928,203,3.14,0.002
bthorder*r1stchildethn,1,0.1232,0.03928,203,3.14,0.002
bthorder*r1stchildethn,2,-0.06899,0.0575,203,-1.2,0.2316
bthorder*r1stchildethn,3,0,,,,
_Alpha,,0.04939,0.007559,,,
