Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-5.8493,10.5339,2904,-0.56,0.5787
age,,5.5605,2.1393,2904,2.6,0.0094
r1stchildethn,4,-8.63,9.1026,2904,-0.95,0.3432
r1stchildethn,1,-8.63,9.1026,2904,-0.95,0.3432
r1stchildethn,2,3.358,9.152,2904,0.37,0.7137
r1stchildethn,3,0,,,,
r1stfeduc,1,-0.5147,0.4482,2904,-1.15,0.2509
r1stfeduc,2,-0.5999,0.2424,2904,-2.47,0.0134
r1stfeduc,3,0,,,,
msmoke_previous,,0.5996,0.04053,2904,14.8,<.0001
ga,,0.2057,0.2655,2904,0.77,0.4385
pregsmk,,0.05933,0.06422,2904,0.92,0.3557
pregsmk*pregsmk,,0.002892,0.000898,2904,3.22,0.0013
z1single,1,1.0316,0.4393,2904,2.35,0.0189
fhrswrk,,-0.01653,0.02451,2904,-0.67,0.5001
mhrswrk,,0.02569,0.008866,2904,2.9,0.0038
welfare,1,0.6475,1.1196,2904,0.58,0.5631
age*msmoke_previous,,-0.03074,0.00993,2904,-3.1,0.002
age*ga,,-0.1202,0.0537,2904,-2.24,0.0252
ga*r1stchildethn,4,0.2406,0.2298,2904,1.05,0.2951
ga*r1stchildethn,1,0.2406,0.2298,2904,1.05,0.2951
ga*r1stchildethn,2,-0.1538,0.2314,2904,-0.66,0.5062
ga*r1stchildethn,3,0,,,,
pregsmk*r1stchildethn,4,0.1236,0.06171,2904,2,0.0453
pregsmk*r1stchildethn,1,0.1236,0.06171,2904,2,0.0453
pregsmk*r1stchildethn,2,0.0618,0.06279,2904,0.98,0.3251
pregsmk*r1stchildethn,3,0,,,,
fhrswrk*r1stchildethn,4,0.007846,0.0261,2904,0.3,0.7637
fhrswrk*r1stchildethn,1,0.007846,0.0261,2904,0.3,0.7637
fhrswrk*r1stchildethn,2,0.0826,0.02583,2904,3.2,0.0014
fhrswrk*r1stchildethn,3,0,,,,
welfare_eth,1,-0.1003,1.2041,2904,-0.08,0.9336
welfare_eth,2,2.5204,1.1961,2904,2.11,0.0352
welfare_eth,3,0,,,,
_sd,,6.010948344,0.9482,,,
