Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-45.6028,55.2008,329,-0.83,0.4093
age,,0.7245,0.9899,329,0.73,0.4648
r1stchildethn,4,51.6085,56.0522,329,0.92,0.3579
r1stchildethn,1,51.6085,56.0522,329,0.92,0.3579
r1stchildethn,2,129.68,56.5675,329,2.29,0.0225
r1stchildethn,3,0,,,,
MAGE,,0.09588,0.3402,329,0.28,0.7783
fage,,3.3745,1.3105,329,2.57,0.0105
fage*fage,,-0.3501,0.1697,329,-2.06,0.0399
ga,,0.9529,1.4673,329,0.65,0.5165
pregsmk,,0.1633,0.04618,329,3.54,0.0005
pregalc,,-0.9803,0.539,329,-1.82,0.0699
z1twin,1,4.6809,2.14,329,2.19,0.0294
INTERACT,,-0.3402,0.1722,329,-1.98,0.049
msmoke_previous,,0.3753,0.2366,329,1.59,0.1137
age*r1stchildethn,4,-0.7742,1.0058,329,-0.77,0.442
age*r1stchildethn,1,-0.7742,1.0058,329,-0.77,0.442
age*r1stchildethn,2,0.1887,1.0163,329,0.19,0.8528
age*r1stchildethn,3,0,,,,
age*pregalc,,0.1141,0.04283,329,2.67,0.0081
MAGE*r1stchildethn,4,-0.3403,0.3488,329,-0.98,0.33
MAGE*r1stchildethn,1,-0.3403,0.3488,329,-0.98,0.33
MAGE*r1stchildethn,2,-0.622,0.3595,329,-1.73,0.0845
MAGE*r1stchildethn,3,0,,,,
ga*r1stchildethn,4,-0.8726,1.4861,329,-0.59,0.5575
ga*r1stchildethn,1,-0.8726,1.4861,329,-0.59,0.5575
ga*r1stchildethn,2,-2.8453,1.4984,329,-1.9,0.0585
ga*r1stchildethn,3,0,,,,
msmoke_previous*r1stchildethn,4,0.1544,0.2405,329,0.64,0.5213
msmoke_previous*r1stchildethn,1,0.1544,0.2405,329,0.64,0.5213
msmoke_previous*r1stchildethn,2,-0.1733,0.2451,329,-0.71,0.4799
msmoke_previous*r1stchildethn,3,0,,,,
_sd,,6.007462027,2.8138,,,
