Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,2.9755,0.113,1253,26.33,<.0001
r1stmeduc,1,0.2143,0.07173,1253,2.99,0.0029
r1stmeduc,2,0.1861,0.05073,1253,3.67,0.0003
r1stmeduc,3,0,,,,
r1stfeduc,1,0.02401,0.08292,1253,0.29,0.7722
r1stfeduc,2,0.1314,0.05009,1253,2.62,0.0088
r1stfeduc,3,0,,,,
SESBTH,1,0.1443,0.07934,1253,1.82,0.0692
SESBTH,2,0.001128,0.04857,1253,0.02,0.9815
SESBTH,3,0,,,,
BREAST,,-0.01473,0.005485,1253,-2.68,0.0074
mean_householdsize1_5,,-0.1833,0.02166,1253,-8.46,<.0001
mean_z1accom1_5,,-0.1844,0.09592,1253,-1.92,0.0548
mean_chres1_5,,-0.2128,0.03608,1253,-5.9,<.0001
mean_msmoke1_5,,-0.01441,0.002836,1253,-5.08,<.0001
_sd,,0.843089556,0.0284,,,
