Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-3.6457,0.3769,93.5889,<.0001
z1gender,1,1,0.3454,0.1797,3.6925,0.0547
r1stchildethn,2,1,1.3908,0.381,13.3254,0.0003
r1stchildethn,3,1,0.2613,0.8034,0.1058,0.745
r1stmeduc,2,1,1.3498,0.3047,19.6264,<.0001
r1stmeduc,3,1,1.299,0.2998,18.7695,<.0001
SESBTH,2,1,-0.3289,0.2481,1.7577,0.1849
SESBTH,3,1,0.3276,0.2587,1.6039,0.2054
z1single0,1,1,-1.0035,0.2666,14.17,0.0002
pregalc,,1,-0.0476,0.0194,6.0152,0.0142
z1single,1,1,3.7707,0.166,516.1964,<.0001
kids,,1,0.3654,0.0464,61.9185,<.0001
mhrswrk,,1,0.00993,0.00588,2.8554,0.0911
fhrswrk,,1,-0.1088,0.00858,160.8045,<.0001
fhrswrk*fhrswrk,,1,0.00102,0.000138,54.2081,<.0001
z1gender_eth,2,1,0.8889,0.2904,9.3709,0.0022
z1gender_eth,3,1,-0.4752,0.4776,0.9904,0.3197
SESBTH_eth,5,1,-1.2191,0.4111,8.7931,0.003
SESBTH_eth,8,1,-2.166,0.4205,26.5334,<.0001
SESBTH_eth,6,1,0.00881,0.8621,0.0001,0.9918
SESBTH_eth,9,1,-0.3116,0.843,0.1367,0.7116
mhrswrk*r1stchildethn,2,1,-0.04,0.011,13.1103,0.0003
mhrswrk*r1stchildethn,3,1,-0.0595,0.0195,9.2585,0.0023
