Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,3.5035,2.512,1.9452,0.1631
age,,1,-1.3032,0.3657,12.7016,0.0004
z1gender,1,1,1.5361,0.1513,103.0837,<.0001
r1stchildethn,2,1,-2.8064,0.7418,14.3124,0.0002
r1stchildethn,3,1,1.1156,5.1376,0.0471,0.8281
MAGE,,1,-0.0519,0.028,3.4402,0.0636
fage,,1,-4.747,0.8298,32.7246,<.0001
r1stmeduc,2,1,1.4334,0.3922,13.3555,0.0003
r1stmeduc,3,1,1.4691,0.3831,14.7078,0.0001
BREAST,,1,0.1901,0.0645,8.6923,0.0032
BREAST*BREAST,,1,-0.0288,0.00688,17.5108,<.0001
bthorder,,1,0.3008,0.0711,17.8901,<.0001
chres,,1,0.0787,0.1553,0.2569,0.6123
mean_mhrswrk1_3,,1,0.0412,0.00736,31.3563,<.0001
mean_welfare1_3,,1,1.3597,0.1838,54.7155,<.0001
mean_z1homeown1_3,,1,0.4749,0.1739,7.46,0.0063
age*fage,,1,0.7292,0.122,35.7296,<.0001
MAGE*r1stchildethn,2,1,0.3218,0.0428,56.5888,<.0001
MAGE*r1stchildethn,3,1,0.0233,0.2236,0.0109,0.917
fage*r1stchildethn,2,1,-1.4172,0.1861,57.9988,<.0001
fage*r1stchildethn,3,1,-0.3936,1.0303,0.1459,0.7024
chres*r1stchildethn,2,1,-1.2199,0.2892,17.7863,<.0001
chres*r1stchildethn,3,1,-10.4885,436.9,0.0006,0.9808
