Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-3.6445,0.3882,88.1411,<.0001
z1gender,1,1,0.841,0.1502,31.3454,<.0001
r1stchildethn,2,1,0.7423,0.1836,16.3417,<.0001
r1stchildethn,3,1,0.3295,0.2988,1.2156,0.2702
r1stfeduc,2,1,-0.8282,0.3487,5.6395,0.0176
r1stfeduc,3,1,-0.0798,0.3144,0.0645,0.7995
SESBTH,2,1,1.1734,0.3293,12.6944,0.0004
SESBTH,3,1,1.3131,0.3454,14.4532,0.0001
BREAST,,1,-0.1032,0.0241,18.3189,<.0001
z1single,1,1,1.2612,0.251,25.2477,<.0001
fhrswrk,,1,0.0125,0.0126,0.9849,0.321
fhrswrk*fhrswrk,,1,-0.00047,0.00022,4.4796,0.0343
z1accom,1,1,-0.6433,0.3132,4.218,0.04
z1single_eth,2,1,-1.3743,0.3534,15.1188,0.0001
z1single_eth,3,1,-1.8462,0.733,6.3444,0.0118
