Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-6.1801,0.3984,240.661,<.0001
z1gender,1,1,0.9553,0.0825,134.1606,<.0001
r1stchildethn,2,1,0.2993,0.1298,5.3199,0.0211
r1stchildethn,3,1,-0.3734,0.4482,0.6941,0.4048
r1stmeduc,2,1,0.51,0.2264,5.0744,0.0243
r1stmeduc,3,1,1.0929,0.2206,24.5387,<.0001
SESBTH,2,1,0.5317,0.1413,14.1506,0.0002
SESBTH,3,1,0.8718,0.1481,34.648,<.0001
bwkg,,1,-0.1589,0.0722,4.8398,0.0278
BREAST,,1,-0.0305,0.0126,5.8699,0.0154
bthorder,,1,0.4869,0.1449,11.2884,0.0008
bthorder*bthorder,,1,-0.0761,0.0257,8.7947,0.003
z1single,1,1,0.6126,0.0957,41.0122,<.0001
kids,,1,0.0694,0.0351,3.8938,0.0485
mhrswrk,,1,0.00538,0.00263,4.1738,0.0411
z1homeown,1,1,0.5982,0.1169,26.2019,<.0001
z1chpar,1,1,0.4451,0.1292,11.8638,0.0006
fsmoke,,1,-0.00166,0.00794,0.0435,0.8348
fsmoke*fsmoke,,1,0.000422,0.000214,3.8926,0.0485
msmoke,,1,-0.0215,0.0088,5.9628,0.0146
msmoke*msmoke,,1,0.000752,0.00025,9.0753,0.0026
NPRESCH,,1,0.2787,0.0483,33.3501,<.0001
PUNISH,,1,0.6181,0.1073,33.1635,<.0001
PUNISH*PUNISH,,1,-0.1032,0.0311,10.9811,0.0009
z1homeown_eth,2,1,-0.6159,0.1878,10.7581,0.001
z1homeown_eth,3,1,-0.4873,0.5095,0.9148,0.3389
msmoke*r1stchildethn,2,1,0.0216,0.00866,6.225,0.0126
msmoke*r1stchildethn,3,1,0.0406,0.0329,1.5239,0.217
