Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-0.1214,0.09107,8859,-1.33,0.1827
age,,0.08251,0.02062,8859,4,<.0001
typeofchange,1,0.04923,0.1204,8859,0.41,0.6826
typeofchange,2,0.00772,0.03674,8859,0.21,0.8336
typeofchange,3,-0.0755,0.1254,8859,-0.6,0.5473
typeofchange,4,-0.1622,0.03209,8859,-5.06,<.0001
typeofchange,5,0,,,,
r1stchildethn,4,0.6984,0.09091,8859,7.68,<.0001
r1stchildethn,1,0.6984,0.09091,8859,7.68,<.0001
r1stchildethn,2,0.642,0.09641,8859,6.66,<.0001
r1stchildethn,3,0.6092,0,8859,I,<.0001
MAGE,,-0.01216,0.001374,8859,-8.85,<.0001
r1stmeduc,1,0.05949,0.07986,8859,0.74,0.4563
r1stmeduc,2,0.084,0.04539,8859,1.85,0.0642
r1stmeduc,3,0,,,,
SESBTH,1,-0.1161,0.08234,8859,-1.41,0.1588
SESBTH,2,-0.01636,0.04449,8859,-0.37,0.7131
SESBTH,3,0,,,,
z1single0,1,-0.09815,0.02254,8859,-4.36,<.0001
pregsmk,,0.009061,0.002619,8859,3.46,0.0005
z1twin,1,0.02416,0.1623,8859,0.15,0.8817
bthorder,,-0.1049,0.01574,8859,-6.67,<.0001
age*r1stchildethn,4,-0.09225,0.02149,8859,-4.29,<.0001
age*r1stchildethn,1,-0.09225,0.02149,8859,-4.29,<.0001
age*r1stchildethn,2,-0.06939,0.02297,8859,-3.02,0.0025
age*r1stchildethn,3,0,,,,
age*pregsmk,,-0.00188,0.000681,8859,-2.76,0.0057
age*z1twin,1,-0.07479,0.03694,8859,-2.02,0.0429
r1stmeduc_eth,1,-0.00896,0.08257,8859,-0.11,0.9135
r1stmeduc_eth,2,0.01195,0.09616,8859,0.12,0.9011
r1stmeduc_eth,3,0,,,,
r1stmeduc_eth,4,-0.04198,0.04848,8859,-0.87,0.3866
r1stmeduc_eth,5,-0.1457,0.05164,8859,-2.82,0.0048
r1stmeduc_eth,6,0,,,,
r1stmeduc_eth,7,0,,,,
r1stmeduc_eth,8,0,,,,
r1stmeduc_eth,9,0,,,,
SESBTH_eth,1,0.1846,0.08535,8859,2.16,0.0306
SESBTH_eth,2,0.2445,0.09361,8859,2.61,0.009
SESBTH_eth,3,0,,,,
SESBTH_eth,4,0.03075,0.04801,8859,0.64,0.5219
SESBTH_eth,5,0.01179,0.05049,8859,0.23,0.8153
SESBTH_eth,6,0,,,,
SESBTH_eth,7,0,,,,
SESBTH_eth,8,0,,,,
SESBTH_eth,9,0,,,,
z1twin_eth,1,0.231,0.1287,8859,1.8,0.0726
z1twin_eth,2,-0.1896,0.1585,8859,-1.2,0.2316
z1twin_eth,3,0,,,,
bthorder*r1stchildethn,4,0.03755,0.01682,8859,2.23,0.0256
bthorder*r1stchildethn,1,0.03755,0.01682,8859,2.23,0.0256
bthorder*r1stchildethn,2,0.04526,0.01795,8859,2.52,0.0117
bthorder*r1stchildethn,3,0,,,,
_sd,,0.555967625,0.004644,,,
