Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-5.6524,0.7063,64.053,<.0001
z1gender,1,1,-0.2264,0.1104,4.2091,0.0402
r1stchildethn,2,1,1.0249,0.5252,3.8078,0.051
r1stchildethn,3,1,4.0093,0.6866,34.0996,<.0001
r1stmeduc,2,1,0.8346,0.2707,9.5042,0.0021
r1stmeduc,3,1,0.9061,0.2647,11.7214,0.0006
pregsmk,,1,0.0563,0.017,10.9725,0.0009
pregsmk*pregsmk,,1,-0.00138,0.000615,5.0639,0.0244
bthorder,,1,0.1199,0.0516,5.4087,0.02
z1single,1,1,1.523,0.2173,49.1193,<.0001
kids,,1,-0.4798,0.1217,15.545,<.0001
householdsize,,1,-0.0566,0.0896,0.3996,0.5273
mhrswrk,,1,-0.0221,0.00761,8.4419,0.0037
mhrswrk*mhrswrk,,1,0.000634,0.000129,24.1791,<.0001
fhrswrk,,1,0.0166,0.00395,17.5865,<.0001
welfare,1,1,0.3377,0.1683,4.0254,0.0448
PUNISH,,1,-0.1752,0.066,7.0414,0.008
INTERACT,,1,0.403,0.1627,6.1347,0.0133
INTERACT*INTERACT,,1,-0.0338,0.0115,8.7182,0.0032
z1single_eth,2,1,-1.4894,0.3266,20.7927,<.0001
z1single_eth,3,1,-1.509,0.4913,9.4345,0.0021
kids*r1stchildethn,2,1,0.185,0.1567,1.3939,0.2377
kids*r1stchildethn,3,1,0.4413,0.1483,8.8591,0.0029
householdsize*r1stchildethn,2,1,0.0818,0.1145,0.5104,0.4749
householdsize*r1stchildethn,3,1,-0.4563,0.1269,12.9305,0.0003
fhrswrk*r1stchildethn,2,1,-0.0308,0.00668,21.2443,<.0001
fhrswrk*r1stchildethn,3,1,-0.0183,0.0102,3.2427,0.0717
