Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-3.3939,1.4925,5.1709,0.023
age,,1,2.4907,0.4207,35.0439,<.0001
age*age,,1,-0.234,0.0433,29.1422,<.0001
r1stchildethn,2,1,-2.3447,0.7223,10.5369,0.0012
r1stchildethn,3,1,-2.1042,1.084,3.7676,0.0523
MAGE,,1,-0.1608,0.0757,4.5139,0.0336
MAGE*MAGE,,1,0.00351,0.00124,7.9753,0.0047
r1stfeduc,2,1,-0.0124,0.2134,0.0034,0.9538
r1stfeduc,3,1,0.1133,0.2065,0.301,0.5833
SESBTH,2,1,1.9094,0.5372,12.632,0.0004
SESBTH,3,1,2.4576,0.5642,18.9717,<.0001
z1single0,1,1,0.5362,0.1449,13.6891,0.0002
bwkg,,1,-0.6002,0.1076,31.1273,<.0001
pregsmk,,1,0.0231,0.0053,18.9659,<.0001
bthorder,,1,0.8406,0.176,22.8032,<.0001
bthorder*bthorder,,1,-0.1405,0.0329,18.1756,<.0001
householdsize_previous,,1,-0.0856,0.0331,6.6927,0.0097
welfare_previous,1,1,-0.4496,0.3756,1.4331,0.2313
age*MAGE,,1,-0.0247,0.0081,9.3206,0.0023
age*SESBTH,2,1,-0.4971,0.1316,14.2582,0.0002
age*SESBTH,3,1,-0.5982,0.1393,18.4465,<.0001
age*welfare_previous,1,1,0.2883,0.0969,8.851,0.0029
eth_r1stfeduc,5,1,1.4008,0.4862,8.3005,0.004
eth_r1stfeduc,6,1,0.658,0.4691,1.9678,0.1607
eth_r1stfeduc,8,1,-0.0297,0.5347,0.0031,0.9558
eth_r1stfeduc,9,1,-0.3746,0.4933,0.5767,0.4476
bwkg*r1stchildethn,2,1,0.5634,0.162,12.0921,0.0005
bwkg*r1stchildethn,3,1,0.7487,0.2759,7.3644,0.0067
