Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-19.7822,5.1443,14.7877,0.0001
z1gender,1,1,-0.2484,0.0475,27.3687,<.0001
r1stchildethn,2,1,6.9071,1.5367,20.2032,<.0001
r1stchildethn,3,1,-3.1116,3.0691,1.0279,0.3107
MAGE,,1,-0.0197,0.00728,7.3153,0.0068
fage,,1,-0.204,0.0359,32.3203,<.0001
r1stmeduc,2,1,0.035,0.0891,0.1541,0.6946
r1stmeduc,3,1,0.2695,0.0882,9.3449,0.0022
r1stfeduc,2,1,-0.0369,0.0948,0.1512,0.6974
r1stfeduc,3,1,-0.024,0.0914,0.0689,0.7929
ga,,1,1.0605,0.2643,16.1,<.0001
ga*ga,,1,-0.0145,0.00343,17.9544,<.0001
z1single_previous,1,1,0.3103,0.0728,18.1786,<.0001
mhrswrk_previous,,1,0.00543,0.00166,10.7424,0.001
typeofchange,2,1,0.4762,0.5866,0.6589,0.4169
typeofchange,3,1,1.15,0.7429,2.3962,0.1216
typeofchange,4,1,0.4776,0.5871,0.6619,0.4159
typeofchange,5,1,-0.2421,0.5712,0.1796,0.6717
fage*r1stchildethn,2,1,0.2405,0.0487,24.4029,<.0001
fage*r1stchildethn,3,1,0.1359,0.0896,2.3031,0.1291
eth_r1stfeduc,5,1,-0.983,0.2393,16.8685,<.0001
eth_r1stfeduc,6,1,-0.9301,0.2172,18.3319,<.0001
eth_r1stfeduc,8,1,-0.1607,0.3529,0.2072,0.6489
eth_r1stfeduc,9,1,-0.3876,0.3171,1.494,0.2216
ga*r1stchildethn,2,1,-0.1251,0.0327,14.6198,0.0001
ga*r1stchildethn,3,1,0.0876,0.0646,1.8409,0.1748
eth_typeofchange,7,1,-1.1196,0.8206,1.8613,0.1725
eth_typeofchange,8,1,0.2813,1.0208,0.0759,0.7829
eth_typeofchange,9,1,-1.8491,0.8126,5.1774,0.0229
eth_typeofchange,10,1,-1.8912,0.7866,5.7806,0.0162
eth_typeofchange,12,1,-0.8041,1.8046,0.1986,0.6559
eth_typeofchange,13,1,-2.0811,2.7541,0.571,0.4499
eth_typeofchange,14,1,-0.1949,1.7833,0.0119,0.913
eth_typeofchange,15,1,0.0291,1.7412,0.0003,0.9867
