Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-5.4483,1.5195,12.8568,0.0003
r1stchildethn,2,1,4.5787,1.0906,17.6272,<.0001
r1stchildethn,3,1,-3.0698,4.1942,0.5357,0.4642
fage,,1,1.7202,0.6441,7.1315,0.0076
fage*fage,,1,-0.2573,0.0844,9.2899,0.0023
r1stmeduc,2,1,3.5953,0.9405,14.613,0.0001
r1stmeduc,3,1,2.4826,0.8463,8.6046,0.0034
BREAST,,1,0.2896,0.0826,12.2807,0.0005
NPRESCH,,1,0.029,0.2459,0.0139,0.9062
fage*r1stchildethn,2,1,-0.682,0.2703,6.3666,0.0116
fage*r1stchildethn,3,1,0.5069,0.8133,0.3884,0.5331
NPRESCH*r1stchildethn,2,1,-1.1641,0.4375,7.0789,0.0078
NPRESCH*r1stchildethn,3,1,-0.0205,0.9919,0.0004,0.9835
