Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,3.3283,1.3029,6.5255,0.0106
r1stchildethn,2,1,-4.7285,0.8852,28.5347,<.0001
r1stchildethn,3,1,-4.7791,2.38,4.0321,0.0446
r1stmeduc,2,1,-0.2578,0.2248,1.315,0.2515
r1stmeduc,3,1,0.2352,0.214,1.2086,0.2716
SESBTH,2,1,0.6449,0.1825,12.4851,0.0004
SESBTH,3,1,0.7096,0.2133,11.0725,0.0009
z1single0,1,1,0.4599,0.4023,1.3071,0.2529
bwkg,,1,-0.813,0.1517,28.708,<.0001
ga,,1,-0.0737,0.0356,4.2771,0.0386
BREAST,,1,0.000729,0.0523,0.0002,0.9889
BREAST*BREAST,,1,-0.0117,0.005,5.459,0.0195
z1twin,1,1,-2.2644,0.6557,11.9275,0.0006
kids,,1,-0.1425,0.0616,5.3509,0.0207
fhrswrk,,1,-0.00388,0.00603,0.4144,0.5197
mhrswrk,,1,-0.0275,0.00744,13.7159,0.0002
z1single0_eth,2,1,1.5377,0.5152,8.9086,0.0028
z1single0_eth,3,1,0.8866,1.2585,0.4963,0.4811
bwkg*r1stchildethn,2,1,0.8818,0.2254,15.3001,<.0001
bwkg*r1stchildethn,3,1,0.7952,0.5776,1.8959,0.1685
BREAST*r1stchildethn,2,1,0.1887,0.0365,26.7641,<.0001
BREAST*r1stchildethn,3,1,0.1872,0.0912,4.2169,0.04
z1twin_eth,2,1,3.9229,1.0016,15.3394,<.0001
z1twin_eth,3,1,2.8136,1.7294,2.6471,0.1037
fhrswrk*r1stchildethn,2,1,0.0371,0.00972,14.5231,0.0001
fhrswrk*r1stchildethn,3,1,0.0179,0.0275,0.4259,0.514
