Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-2.9352,0.9399,9.7531,0.0018
z1gender,1,1,0.2588,0.0742,12.1702,0.0005
r1stchildethn,2,1,-0.8548,0.309,7.6542,0.0057
r1stchildethn,3,1,-0.418,0.6184,0.457,0.499
r1stmeduc,2,1,0.3715,0.1399,7.0544,0.0079
r1stmeduc,3,1,0.3679,0.1386,7.0475,0.0079
r1stfeduc,2,1,0.471,0.1622,8.4363,0.0037
r1stfeduc,3,1,0.6439,0.1578,16.6445,<.0001
bwkg,,1,1.6943,0.5566,9.2663,0.0023
bwkg*bwkg,,1,-0.2159,0.0859,6.3243,0.0119
pregsmk,,1,0.0187,0.00514,13.1923,0.0003
bthorder,,1,0.0828,0.0353,5.5145,0.0189
z1single,1,1,-1.1951,0.1153,107.3904,<.0001
kids,,1,0.1083,0.0353,9.4327,0.0021
fhrswrk,,1,0.00969,0.00246,15.5723,<.0001
mhrswrk,,1,-0.00613,0.00255,5.7914,0.0161
NPRESCH,,1,0.1255,0.0453,7.6787,0.0056
INTERACT,,1,-0.057,0.0216,6.9597,0.0083
eth_r1stfeduc,5,1,0.7755,0.329,5.5552,0.0184
eth_r1stfeduc,6,1,0.9938,0.2916,11.6164,0.0007
eth_r1stfeduc,8,1,-0.0304,0.6457,0.0022,0.9624
eth_r1stfeduc,9,1,-0.1614,0.5787,0.0778,0.7804
fhrswrk*r1stchildethn,2,1,0.00921,0.00401,5.2862,0.0215
fhrswrk*r1stchildethn,3,1,0.0125,0.00875,2.0384,0.1534
