Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,1.8222,0.3864,22.2354,<.0001
r1stchildethn,2,1,0.9462,0.1191,63.1204,<.0001
r1stchildethn,3,1,1.3662,0.185,54.5386,<.0001
MAGE,,1,-0.0274,0.0112,5.9567,0.0147
r1stfeduc,2,1,-0.339,0.1917,3.1277,0.077
r1stfeduc,3,1,0.0875,0.1892,0.214,0.6436
SESBTH,2,1,0.0462,0.1791,0.0664,0.7967
SESBTH,3,1,0.365,0.1934,3.5614,0.0591
z1single0,1,1,-0.1058,0.2254,0.2204,0.6387
bthorder,,1,-0.2745,0.1837,2.2338,0.135
bthorder*bthorder,,1,0.0705,0.0343,4.217,0.04
z1single,1,1,0.7245,0.1551,21.8183,<.0001
z1single0_eth,2,1,-0.7649,0.2829,7.3101,0.0069
z1single0_eth,3,1,0.0405,0.6466,0.0039,0.9501
