Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-4.9515,0.9916,24.9339,<.0001
age,,1,0.7684,0.2238,11.7826,0.0006
z1gender,1,1,-0.3224,0.3171,1.0333,0.3094
MAGE,,1,0.2145,0.0352,37.1004,<.0001
fage,,1,0.6163,0.2194,7.8896,0.005
fage*fage,,1,-0.1201,0.0289,17.2828,<.0001
r1stmeduc,2,1,0.1035,0.147,0.4961,0.4812
r1stmeduc,3,1,-0.4679,0.1459,10.29,0.0013
r1stfeduc,2,1,-0.3876,0.1583,5.9963,0.0143
r1stfeduc,3,1,0.0248,0.1558,0.0254,0.8734
pregsmk,,1,-0.0139,0.0063,4.8923,0.027
pregalc,,1,-0.0561,0.0318,3.1062,0.078
z1twin,1,1,1.0745,0.3914,7.5369,0.006
age*z1gender,1,1,0.1678,0.0801,4.3836,0.0363
age*MAGE,,1,-0.0318,0.00845,14.1745,0.0002
age*pregalc,,1,0.0282,0.00936,9.0752,0.0026
