Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,3.6244,1.1082,10.697,0.0011
z1gender,1,1,0.2423,0.1688,2.0599,0.1512
r1stchildethn,2,1,1.0515,0.1991,27.8902,<.0001
r1stchildethn,3,1,1.5415,0.2787,30.5847,<.0001
MAGE,,1,-0.4655,0.0812,32.8912,<.0001
MAGE*MAGE,,1,0.00686,0.00147,21.6779,<.0001
BREAST,,1,0.1265,0.0523,5.85,0.0156
BREAST*BREAST,,1,-0.0155,0.00463,11.1872,0.0008
pregsmk,,1,0.2761,0.0288,91.9572,<.0001
pregsmk*pregsmk,,1,-0.00777,0.00143,29.5636,<.0001
mhrswrk,,1,0.00287,0.00769,0.1396,0.7087
z1gender_eth,2,1,-1.4278,0.2721,27.5256,<.0001
z1gender_eth,3,1,-0.3978,0.3613,1.212,0.2709
mhrswrk*r1stchildethn,2,1,0.0437,0.0104,17.5221,<.0001
mhrswrk*r1stchildethn,3,1,-0.00437,0.0134,0.1063,0.7444
