Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-9.1277,2.0448,19.9258,<.0001
age,,1,0.7833,0.2419,10.4881,0.0012
age*age,,1,-0.0302,0.00996,9.2041,0.0024
z1gender,1,1,-0.9801,0.3659,7.1731,0.0074
r1stchildethn,2,1,2.3562,0.4342,29.4472,<.0001
r1stchildethn,3,1,2.3538,0.7816,9.0697,0.0026
MAGE,,1,0.0553,0.0393,1.9767,0.1597
r1stmeduc,2,1,-0.0127,0.1743,0.0053,0.9419
r1stmeduc,3,1,0.4587,0.1729,7.0366,0.008
r1stfeduc,2,1,-0.5471,0.7041,0.6038,0.4371
r1stfeduc,3,1,-1.8132,0.6887,6.9308,0.0085
SESBTH,2,1,0.6782,0.5473,1.5356,0.2153
SESBTH,3,1,1.8087,0.6116,8.7468,0.0031
bwkg,,1,2.9853,0.6741,19.6136,<.0001
bwkg*bwkg,,1,-0.4135,0.0977,17.9196,<.0001
ga,,1,-0.0773,0.0295,6.8901,0.0087
pregsmk,,1,0.2415,0.0191,159.1659,<.0001
pregsmk*pregsmk,,1,-0.0073,0.000939,60.4271,<.0001
z1twin,1,1,1.5037,0.2489,36.4953,<.0001
z1single,1,1,0.0354,0.2071,0.0293,0.8641
householdsize,,1,0.0985,0.0254,15.0901,0.0001
welfare,1,1,0.0867,0.1902,0.2078,0.6485
age*z1gender,1,1,0.1324,0.0388,11.6638,0.0006
age*r1stchildethn,2,1,-0.2339,0.0474,24.3924,<.0001
age*r1stchildethn,3,1,-0.1562,0.0982,2.5332,0.1115
age*MAGE,,1,-0.0142,0.00427,11.1543,0.0008
age*r1stfeduc,2,1,0.1107,0.0767,2.0833,0.1489
age*r1stfeduc,3,1,0.273,0.0745,13.4371,0.0002
age*SESBTH,2,1,-0.1609,0.0565,8.1095,0.0044
age*SESBTH,3,1,-0.2696,0.0636,17.9669,<.0001
z1single_eth,2,1,-1.2938,0.3137,17.0101,<.0001
z1single_eth,3,1,0.7674,0.5096,2.2676,0.1321
welfare_eth,2,1,1.379,0.2801,24.2302,<.0001
welfare_eth,3,1,-0.5798,0.5028,1.3298,0.2488
