Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,7.2453,0.8731,68.8652,<.0001
age,,1,-0.2865,0.0489,34.2965,<.0001
r1stchildethn,2,1,-0.3057,0.6492,0.2217,0.6378
r1stchildethn,3,1,0.451,1.0278,0.1926,0.6608
fage,,1,-0.1891,0.0451,17.5491,<.0001
r1stmeduc,2,1,0.1725,0.2,0.7433,0.3886
r1stmeduc,3,1,0.18,0.1922,0.8773,0.3489
SESBTH,2,1,-1.4572,0.5652,6.6472,0.0099
SESBTH,3,1,-1.4976,0.5864,6.5223,0.0107
bwkg,,1,-0.3023,0.0863,12.2662,0.0005
BREAST,,1,-0.1794,0.0384,21.8427,<.0001
BREAST*BREAST,,1,0.00977,0.00357,7.4799,0.0062
pregsmk,,1,0.1727,0.0127,184.8983,<.0001
pregsmk*pregsmk,,1,-0.00351,0.000383,84.0734,<.0001
bthorder,,1,0.1167,0.0528,4.8784,0.0272
mhrswrk,,1,-0.0346,0.0127,7.3966,0.0065
INTERACT,,1,-0.5459,0.1615,11.4205,0.0007
INTERACT*INTERACT,,1,0.0339,0.0109,9.7419,0.0018
age*SESBTH,2,1,0.2246,0.0548,16.8219,<.0001
age*SESBTH,3,1,0.192,0.0563,11.6107,0.0007
age*mhrswrk,,1,0.00412,0.00131,9.856,0.0017
r1stmeduc_eth,5,1,-0.3903,0.5509,0.5019,0.4787
r1stmeduc_eth,8,1,0.6406,0.5452,1.3803,0.24
r1stmeduc_eth,6,1,-0.3176,0.7784,0.1664,0.6833
r1stmeduc_eth,9,1,-0.8684,0.7866,1.2187,0.2696
SESBTH_eth,5,1,-1.097,0.4038,7.3791,0.0066
SESBTH_eth,8,1,-1.2585,0.4069,9.5675,0.002
SESBTH_eth,6,1,-0.7219,0.7785,0.86,0.3537
SESBTH_eth,9,1,-0.1612,0.7911,0.0415,0.8385
bthorder*r1stchildethn,2,1,0.3159,0.0835,14.3027,0.0002
bthorder*r1stchildethn,3,1,0.0285,0.1565,0.0332,0.8555
