"Variable","ClassVal0","Estimate"
"Intercept",NA,-0.526634129789481
"r1stchildethn",2,0.166681474945318
"r1stchildethn",3,0.591710261585542
"r1stchildethn",4,-0.1374966410379
"z1breast",1,-0.0861433714369724
"r1ParentEduc",2,2.22044604925031e-16
"r1ParentEduc",3,0.554002263829948
"SESBTH",2,-6.66133814775094e-16
"SESBTH",3,0.289220991220524
"z1pregsmk",1,0.153063028275704
"z1HighBw",1,0.281408025326172
"z1LowBw",1,-0.0817580091264245
"z1Caesarean",1,0.123698561632549
"r1Sleep",2,-0.252358968429838
"r1Sleep",3,-0.176240581292764
