Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-5.1186,0.9778,27.4022,<.0001
householdsize,,1,0.9835,0.0522,354.8994,<.0001
MAGE,,1,0.0458,0.0515,0.7915,0.3737
kids,,1,0.4144,0.1645,6.3482,0.0118
r1stchildethn,2,1,-2.0796,0.5269,15.5785,<.0001
r1stchildethn,3,1,3.2217,0.9947,10.4905,0.0012
householdsize*r1stchildethn,2,1,-0.3452,0.0685,25.419,<.0001
householdsize*r1stchildethn,3,1,-1.0363,0.0876,139.9659,<.0001
MAGE*r1stchildethn,2,1,0.1852,0.0217,72.9525,<.0001
MAGE*r1stchildethn,3,1,0.0434,0.0385,1.2745,0.2589
age,,1,0.08,0.0956,0.7003,0.4027
fhrswrk,,1,-0.00436,0.00249,3.0775,0.0794
kids*r1stchildethn,2,1,0.4461,0.0915,23.7523,<.0001
kids*r1stchildethn,3,1,0.7372,0.1337,30.4143,<.0001
bthorder,,1,-0.1228,0.0594,4.2714,0.0388
r1stmeduc,2,1,0.2432,0.1578,2.3741,0.1234
r1stmeduc,3,1,0.5328,0.1524,12.2187,0.0005
fage,,1,-1.4274,0.1979,52.0256,<.0001
age*fage,,1,0.1371,0.0209,42.9411,<.0001
MAGE*age,,1,-0.0187,0.00532,12.3003,0.0005
fhrswrk*r1stchildethn,2,1,-0.0133,0.00364,13.2717,0.0003
fhrswrk*r1stchildethn,3,1,0.00536,0.00821,0.4268,0.5135
bthorder*r1stchildethn,2,1,-0.3262,0.0902,13.0863,0.0003
bthorder*r1stchildethn,3,1,-0.043,0.1651,0.0679,0.7943
z1twin,1,1,0.6621,0.2207,9.0016,0.0027
mhrswrk,,1,0.0142,0.0127,1.2606,0.2615
mhrswrk*mhrswrk,,1,0.000455,0.00013,12.2228,0.0005
age*mhrswrk,,1,-0.00445,0.00113,15.4624,<.0001
kids*age,,1,-0.0384,0.0154,6.2144,0.0127
