Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,3.0897,1.2049,6.575,0.0103
r1stchildethn,2,1,-1.3877,0.9264,2.2439,0.1341
r1stchildethn,3,1,-0.6963,1.3138,0.2809,0.5961
MAGE,,1,-0.3585,0.0785,20.8562,<.0001
MAGE*MAGE,,1,0.00525,0.00146,12.9478,0.0003
SESBTH,2,1,0.4703,0.2842,2.7386,0.098
SESBTH,3,1,1.2064,0.293,16.9486,<.0001
z1single0,1,1,0.6235,0.2883,4.6754,0.0306
bwkg,,1,-0.5505,0.157,12.288,0.0005
pregsmk,,1,0.0207,0.00695,8.8218,0.003
SESBTH_eth,5,1,0.2843,0.6001,0.2244,0.6357
SESBTH_eth,6,1,-0.7091,0.6087,1.357,0.2441
SESBTH_eth,8,1,0.026,0.9012,0.0008,0.977
SESBTH_eth,9,1,-0.0126,0.8877,0.0002,0.9887
z1single0_eth,2,1,1.3416,0.3675,13.3266,0.0003
z1single0_eth,3,1,1.4983,0.4766,9.8834,0.0017
bwkg*r1stchildethn,2,1,0.5083,0.2271,5.0081,0.0252
bwkg*r1stchildethn,3,1,0.5117,0.2874,3.1692,0.075
