Variable,ClassVal0,Estimate
Intercept,NA,NA
r1stchildethn,2,1.854651163
r1stchildethn,3,1.648578811
r1stchildethn,4,1.124031008
r1Region,2,1.052631579
r1Region,3,1.085308057
r1Region,4,1.548
r1Region,5,1.548
r1Region,6,1.601694915
r1Region,7,1.430232558
r1Region,8,1.430232558
r1Region,9,1.158415842
r1Region,10,0.986111111
r1Region,11,1.175
r1Region,12,1.165289256
r1Region,13,1.430232558
r1Region,14,1.605809129
r1Region,15,1.488095238
r1Region,16,1.430232558
z1Score,1,2.575427477
