Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,57.0083,1.0479,2344,54.4,<.0001
bthorder,,-0.954,0.216,2344,-4.42,<.0001
r1stchildethn,1,0.7418,0.745,2344,1,0.3195
r1stchildethn,2,-4.563,2.2182,2344,-2.06,0.0398
r1stchildethn,3,0,,,,
fage,,0.7949,0.1892,2344,4.2,<.0001
r1stmeduc,1,1.2867,0.4952,2344,2.6,0.0094
r1stmeduc,2,-0.7328,0.4285,2344,-1.71,0.0873
r1stmeduc,3,0,,,,
SESBTH,1,-1.9602,0.6052,2344,-3.24,0.0012
SESBTH,2,-0.1053,0.4937,2344,-0.21,0.8311
SESBTH,3,0,,,,
kids,,0.8312,0.2098,2344,3.96,<.0001
mhrswrk,,0.102,0.01027,2344,9.92,<.0001
z1homeown,1,3.7131,0.4972,2344,7.47,<.0001
_sd,,8.606311637,2.1636,,,
