Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,1.5741,0.2616,8053,6.02,<.0001
age,,0.01326,0.004894,8053,2.71,0.0067
r1stchildethn,1,-0.3954,0.05704,8053,-6.93,<.0001
r1stchildethn,2,0.4136,0.05593,8053,7.39,<.0001
r1stchildethn,3,0,,,,
MAGE,,-0.1354,0.0211,8053,-6.42,<.0001
MAGE*MAGE,,0.002154,0.000356,8053,6.05,<.0001
fage,,0.2891,0.0695,8053,4.16,<.0001
fage*fage,,-0.03232,0.00879,8053,-3.68,0.0002
r1stmeduc,1,-0.3076,0.06026,8053,-5.1,<.0001
r1stmeduc,2,0.04819,0.03378,8053,1.43,0.1537
r1stmeduc,3,0,,,,
r1stfeduc,1,0.1545,0.05282,8053,2.93,0.0035
r1stfeduc,2,0.09545,0.03637,8053,2.62,0.0087
r1stfeduc,3,0,,,,
SESBTH,1,-0.2647,0.05803,8053,-4.56,<.0001
SESBTH,2,-0.1452,0.03311,8053,-4.38,<.0001
SESBTH,3,0,,,,
kids,,-0.2556,0.02881,8053,-8.87,<.0001
kids*kids,,0.03757,0.002885,8053,13.02,<.0001
welfare,1,0.08653,0.04136,8053,2.09,0.0365
mhrswrk,,0.002794,0.001064,8053,2.63,0.0087
z1homeown,1,0.1718,0.03831,8053,4.49,<.0001
z1overcrowd,1,0.4021,0.03143,8053,12.79,<.0001
msmoke,,-0.00549,0.002726,8053,-2.02,0.0439
fsmoke,,0.005982,0.001617,8053,3.7,0.0002
pregsmk,,0.019,0.006508,8053,2.92,0.0035
pregsmk*pregsmk,,-0.00108,0.000263,8053,-4.1,<.0001
bthorder,,-0.2299,0.05703,8053,-4.03,<.0001
bthorder*bthorder,,0.04563,0.009349,8053,4.88,<.0001
_Alpha,,0.7343,0.02924,,,
