Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,38.3422,0.323,1163,118.69,<.0001
z1gender,1,0.4421,0.1578,1163,2.8,0.0052
r1stchildethn,1,-0.1757,0.2305,1163,-0.76,0.4461
r1stchildethn,2,1.0657,0.3571,1163,2.98,0.0029
r1stchildethn,3,0,,,,
fage,,-0.1871,0.07226,1163,-2.59,0.0098
r1stfeduc,1,0.2722,0.2369,1163,1.15,0.2508
r1stfeduc,2,-0.4409,0.1841,1163,-2.4,0.0168
r1stfeduc,3,0,,,,
welfare,1,-1.2386,0.3676,1163,-3.37,0.0008
msmoke,,0.03104,0.009381,1163,3.31,0.001
_sd,,2.67458408,0.2966,,,
