Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,81.295,14.7634,337,5.51,<.0001
bthorder,,-2.4781,0.7133,337,-3.47,0.0006
r1stchildethn,1,-0.2154,1.8241,337,-0.12,0.9061
r1stchildethn,2,-13.1325,4.3775,337,-3,0.0029
r1stchildethn,3,0,,,,
MAGE,,0.8081,0.1649,337,4.9,<.0001
r1stmeduc,1,-4.2174,1.6711,337,-2.52,0.0121
r1stmeduc,2,0.421,1.5351,337,0.27,0.784
r1stmeduc,3,0,,,,
welfare,1,9.6392,2.6517,337,3.64,0.0003
fhrswrk,,0.1535,0.02464,337,6.23,<.0001
z1accom,1,13.6198,2.1491,337,6.34,<.0001
z1homeown,1,7.9485,1.4681,337,5.41,<.0001
z1chpar,1,-6.238,2.7664,337,-2.25,0.0248
ga,,-1.2858,0.3478,337,-3.7,0.0003
pregalc,,-0.9973,0.3598,337,-2.77,0.0059
_sd,,10.76289924,8.9237,,,
