Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,17.6089,0.5235,1877,33.64,<.0001
r1stchildethn,1,0.002621,0.1776,1877,0.01,0.9882
r1stchildethn,2,-2.6506,0.4181,1877,-6.34,<.0001
r1stchildethn,3,0,,,,
fage,,0.1681,0.05868,1877,2.86,0.0042
householdsize,,-0.1616,0.06125,1877,-2.64,0.0084
z1overcrowd,1,0.8734,0.1832,1877,4.77,<.0001
z1chpar,1,0.7394,0.2038,1877,3.63,0.0003
bwkg,,-0.3285,0.121,1877,-2.72,0.0067
pregsmk,,0.08278,0.007621,1877,10.86,<.0001
_sd,,2.707101771,0.2392,,,
