Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,21.5203,1.7002,1128,12.66,<.0001
SESBTH,1,-0.5046,0.2177,1128,-2.32,0.0206
SESBTH,2,-0.07058,0.1548,1128,-0.46,0.6485
SESBTH,3,0,,,,
MAGE,,-0.4695,0.02006,1128,-23.41,<.0001
r1stfeduc,1,0.3788,0.1989,1128,1.9,0.0571
r1stfeduc,2,0.3167,0.1386,1128,2.29,0.0225
r1stfeduc,3,0,,,,
z1single0,1,1.0093,0.3678,1128,2.74,0.0062
z1single,1,-0.7717,0.3422,1128,-2.25,0.0243
householdsize,,-0.09889,0.0502,1128,-1.97,0.0491
z1homeown,1,0.3856,0.1453,1128,2.65,0.0081
ga,,-0.09772,0.03787,1128,-2.58,0.01
