Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,15.1028,0.2066,14024,73.1,<.0001
age,,-0.05771,0.005391,14024,-10.7,<.0001
z1gender,1,0.02891,0.03456,14024,0.84,0.403
MAGE,,0.03185,0.00587,14024,5.43,<.0001
fage,,-0.0716,0.02329,14024,-3.07,0.0021
z1single0,1,0.7666,0.08239,14024,9.3,<.0001
r1stfeduc,1,-0.1304,0.05017,14024,-2.6,0.0093
r1stfeduc,2,-0.08742,0.04016,14024,-2.18,0.0295
r1stfeduc,3,0,,,,
z1single,1,-1.6264,0.09194,14024,-17.69,<.0001
householdsize,,-2.446,0.03126,14024,-78.25,<.0001
msmoke,,0.00269,0.002259,14024,1.19,0.2337
welfare,1,-0.06151,0.0778,14024,-0.79,0.4292
mhrswrk,,0.009655,0.001332,14024,7.25,<.0001
fhrswrk,,-0.00388,0.00138,14024,-2.81,0.0049
bthorder,,-0.3847,0.0231,14024,-16.65,<.0001
z1homeown,1,0.3083,0.04875,14024,6.32,<.0001
z1overcrowd,1,0.003323,0.05967,14024,0.06,0.9556
chres,,0.148,0.02658,14024,5.57,<.0001
