Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,4.8137,1.5433,1129,3.12,0.0019
fage,,-1.6897,0.08213,1129,-20.57,<.0001
r1stfeduc,1,-0.7675,0.185,1129,-4.15,<.0001
r1stfeduc,2,-0.1129,0.1407,1129,-0.8,0.4226
r1stfeduc,3,0,,,,
z1single,1,1.4397,0.2616,1129,5.5,<.0001
bthorder,,-0.596,0.06619,1129,-9.01,<.0001
z1homeown,1,0.737,0.1437,1129,5.13,<.0001
r1stmeduc,1,-0.4941,0.1793,1129,-2.76,0.006
r1stmeduc,2,-0.04814,0.1463,1129,-0.33,0.7421
r1stmeduc,3,0,,,,
ga,,0.1095,0.03817,1129,2.87,0.0042
