Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-1.1317,0.496,12913,-2.28,0.0225
age,,-0.2422,0.00522,12913,-46.39,<.0001
r1stchildethn,1,0.1716,0.06236,12913,2.75,0.0059
r1stchildethn,2,-0.6774,0.1179,12913,-5.75,<.0001
r1stchildethn,3,0,,,,
MAGE,,0.02546,0.004497,12913,5.66,<.0001
r1stmeduc,1,-0.5341,0.05014,12913,-10.65,<.0001
r1stmeduc,2,-0.1287,0.04244,12913,-3.03,0.0024
r1stmeduc,3,0,,,,
z1single,1,-0.3151,0.09173,12913,-3.43,0.0006
householdsize,,-0.1236,0.03816,12913,-3.24,0.0012
kids,,0.5552,0.04327,12913,12.83,<.0001
welfare,1,1.9322,0.08695,12913,22.22,<.0001
msmoke,,-0.01233,0.002372,12913,-5.2,<.0001
bthorder,,-0.4732,0.02421,12913,-19.55,<.0001
bwkg,,0.05427,0.03881,12913,1.4,0.162
ga,,0.07323,0.0125,12913,5.86,<.0001
BREAST,,0.01202,0.004478,12913,2.68,0.0073
