Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,5.4062,0.55,1105,5.66,<.0001
MAGE,,-0.03494,0.01422,1105,-2.46,0.0142
r1stfeduc,1,-0.4671,0.1944,1105,-2.4,0.0164
r1stfeduc,2,-0.4905,0.1521,1105,-3.22,0.0013
r1stfeduc,3,0,,,,
z1single0,1,-1.3063,0.3052,1105,-4.28,<.0001
r1stchildethn,1,0.6404,0.215,1105,2.98,0.003
r1stchildethn,2,1.5443,0.5743,1105,2.69,0.0073
r1stchildethn,3,0,,,,
r1stmeduc,1,-0.4688,0.1858,1105,-2.52,0.0118
r1stmeduc,2,-0.3803,0.1566,1105,-2.43,0.0153
r1stmeduc,3,0,,,,
fhrswrk,,-0.0147,0.00531,1105,-2.77,0.0057
