Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-4.3576,0.4586,1113,-9.5,<.0001
SESBTH,1,3.0245,0.2313,1113,13.08,<.0001
SESBTH,2,0.7884,0.1739,1113,4.53,<.0001
SESBTH,3,0,,,,
MAGE,,0.05981,0.02168,1113,2.76,0.0059
fage,,-0.3233,0.09149,1113,-3.53,0.0004
r1stchildethn,1,0.8865,0.2511,1113,3.53,0.0004
r1stchildethn,2,-0.2689,0.5562,1113,-0.48,0.6289
r1stchildethn,3,0,,,,
r1stmeduc,1,1.5522,0.1861,1113,8.34,<.0001
r1stmeduc,2,0.9855,0.1494,1113,6.6,<.0001
r1stmeduc,3,0,,,,
bthorder,,-0.1942,0.07838,1113,-2.48,0.0134
z1overcrowd,1,-0.4274,0.2151,1113,-1.99,0.0472
fsmoke,,-0.03512,0.008127,1113,-4.32,<.0001
pregalc,,0.04732,0.024,1113,1.97,0.0489
