Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-3.642,0.4086,1156,-8.91,<.0001
z1gender,1,-0.3156,0.124,1156,-2.54,0.0111
r1stchildethn,1,-0.1456,0.2137,1156,-0.68,0.4958
r1stchildethn,2,-0.8639,0.4028,1156,-2.14,0.0322
r1stchildethn,3,0,,,,
fage,,0.2539,0.0593,1156,4.28,<.0001
r1stfeduc,1,3.293,0.2089,1156,15.76,<.0001
r1stfeduc,2,1.2449,0.1478,1156,8.42,<.0001
r1stfeduc,3,0,,,,
welfare,1,-0.6524,0.325,1156,-2.01,0.045
fhrswrk,,0.01436,0.006023,1156,2.38,0.0173
z1homeown,1,-0.5826,0.1485,1156,-3.92,<.0001
pregsmk,,-0.02873,0.008519,1156,-3.37,0.0008
