Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_
Intercept,,1,-0.0122,0.332,0.0014,0.9706,MLE
age,,1,-0.0903,0.00737,149.7838,<.0001,MLE
z1gender,1,1,-0.1524,0.0519,8.6404,0.0033,MLE
r1stchildethn,2,1,1.9142,0.1252,233.5827,<.0001,MLE
r1stchildethn,3,1,0.7331,0.0717,104.6674,<.0001,MLE
SESBTH,2,1,0.2482,0.0857,8.3838,0.0038,MLE
SESBTH,3,1,0.7854,0.093,71.3811,<.0001,MLE
MAGE,,1,-0.0828,0.00862,92.2986,<.0001,MLE
fage,,1,-0.0664,0.0328,4.0895,0.0432,MLE
r1stmeduc,2,1,0.0383,0.09,0.1811,0.6704,MLE
r1stmeduc,3,1,0.2019,0.0868,5.411,0.02,MLE
kids,,1,-0.2038,0.0332,37.7868,<.0001,MLE
msmoke,,1,0.0112,0.00297,14.1375,0.0002,MLE
fhrswrk,,1,0.00398,0.00194,4.2134,0.0401,MLE
bthorder,,1,0.1031,0.0349,8.7037,0.0032,MLE
z1accom,1,1,0.4462,0.086,26.9056,<.0001,MLE
welfare,1,1,0.6912,0.0979,49.8307,<.0001,MLE
z1overcrowd,1,1,0.572,0.077,55.1658,<.0001,MLE
z1single,1,1,0.7985,0.1084,54.2407,<.0001,MLE
chres,,1,0.6255,0.036,301.6087,<.0001,MLE
fsmoke,,1,0.0182,0.00278,42.5434,<.0001,MLE
bwkg,,1,-0.1016,0.0484,4.4117,0.0357,MLE
