Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_
Intercept,,1,-6.6178,0.2995,488.3912,<.0001,MLE
age,,1,-0.087,0.00918,89.724,<.0001,MLE
r1stchildethn,2,1,0.4465,0.146,9.3546,0.0022,MLE
r1stchildethn,3,1,0.3625,0.0913,15.7783,<.0001,MLE
SESBTH,2,1,0.2698,0.1101,6.0022,0.0143,MLE
SESBTH,3,1,0.4509,0.1225,13.5461,0.0002,MLE
MAGE,,1,-0.0382,0.00847,20.3837,<.0001,MLE
r1stmeduc,2,1,0.0496,0.1044,0.2258,0.6347,MLE
r1stmeduc,3,1,0.1975,0.1054,3.5106,0.061,MLE
r1stfeduc,2,1,-0.1634,0.1184,1.9047,0.1676,MLE
r1stfeduc,3,1,0.083,0.1217,0.4654,0.4951,MLE
kids,,1,0.3107,0.0535,33.7472,<.0001,MLE
householdsize,,1,0.9707,0.0474,420.1147,<.0001,MLE
msmoke,,1,0.0215,0.00353,37.2283,<.0001,MLE
bthorder,,1,-0.1597,0.0401,15.8801,<.0001,MLE
z1accom,1,1,2.1832,0.0975,501.3026,<.0001,MLE
z1homeown,1,1,0.3401,0.0763,19.8442,<.0001,MLE
z1single,1,1,-0.4859,0.113,18.4798,<.0001,MLE
BREAST,,1,0.0249,0.00795,9.8453,0.0017,MLE
