Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_
Intercept,,1,2.0192,0.5138,15.4432,<.0001,MLE
age,,1,0.0407,0.016,6.4742,0.0109,MLE
r1stchildethn,2,1,0.2723,0.258,1.1133,0.2914,MLE
r1stchildethn,3,1,0.4762,0.1543,9.521,0.002,MLE
fage,,1,-0.2482,0.0476,27.1883,<.0001,MLE
z1single0,1,1,0.7427,0.1619,21.0351,<.0001,MLE
r1stmeduc,2,1,-0.1225,0.1793,0.4664,0.4946,MLE
r1stmeduc,3,1,-0.4071,0.1796,5.1402,0.0234,MLE
householdsize,,1,-0.7918,0.0473,279.8795,<.0001,MLE
welfare,1,1,2.0614,0.14,216.8112,<.0001,MLE
mhrswrk,,1,0.008,0.00391,4.1803,0.0409,MLE
fhrswrk,,1,-0.0862,0.00311,765.6886,<.0001,MLE
bthorder,,1,0.5213,0.0587,78.7571,<.0001,MLE
z1homeown,1,1,0.7963,0.1272,39.166,<.0001,MLE
z1chpar,1,1,1.6155,0.1499,116.1142,<.0001,MLE
chres,,1,-0.1821,0.0626,8.4599,0.0036,MLE
fsmoke,,1,-0.1221,0.00881,191.93,<.0001,MLE
BREAST,,1,0.0313,0.0142,4.8668,0.0274,MLE
