Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,0.3325,0.2156,13148,1.54,0.1231
age,,0.04723,0.006533,13148,7.23,<.0001
r1stchildethn,1,-0.3982,0.07201,13148,-5.53,<.0001
r1stchildethn,2,0.1201,0.1361,13148,0.88,0.3777
r1stchildethn,3,0,,,,
MAGE,,0.04959,0.007108,13148,6.98,<.0001
fage,,0.1152,0.03021,13148,3.82,0.0001
r1stmeduc,1,0.2672,0.0777,13148,3.44,0.0006
r1stmeduc,2,0.2162,0.05447,13148,3.97,<.0001
r1stmeduc,3,0,,,,
z1single,1,-0.1962,0.09885,13148,-1.98,0.0472
welfare,1,-0.408,0.08968,13148,-4.55,<.0001
mhrswrk,,-0.0089,0.001628,13148,-5.47,<.0001
fhrswrk,,0.006534,0.001732,13148,3.77,0.0002
z1homeown,1,-0.1508,0.05608,13148,-2.69,0.0072
z1accom,1,-0.2326,0.07574,13148,-3.07,0.0021
z1overcrowd,1,-0.2752,0.06494,13148,-4.24,<.0001
fsmoke,,-0.03415,0.002334,13148,-14.64,<.0001
BREAST,,0.06735,0.006532,13148,10.31,<.0001
pregalc,,-0.03039,0.00787,13148,-3.86,0.0001
pregsmk,,-0.1634,0.003259,13148,-50.14,<.0001
