Age,Mean Diff,Lower CI,Upper CI
2,-0.0244,-0.282187596,0.233387596
3,0.1088,-0.149265019,0.366865019
4,-0.0416,-0.254221664,0.171021664
5,-1.5028,-1.770386959,-1.235213041
6,-1.426,-1.639578315,-1.212421685
7,-1.5692,-1.823730835,-1.314669165
8,-1.4928,-1.717055768,-1.268544232
9,-1.6076,-1.833856572,-1.381343428
10,-1.54,-1.762942013,-1.317057987
11,-1.5608,-1.781102265,-1.340497735
12,-1.6412,-1.883549655,-1.398850345
13,-1.7524,-2.005326386,-1.499473614
14,-1.7432,-2.028512876,-1.457887124
15,-1.5968,-1.82771938,-1.36588062
16,-1.8788,-2.14662425,-1.61097575
17,-1.8236,-2.072515221,-1.574684779
18,-1.612,-1.892818354,-1.331181646
19,-2.1612,-2.441812285,-1.880587715
20,-2.1104,-2.387489464,-1.833310536
21,-2.0572,-2.359199176,-1.755200824
,-1.710,-1.963,-1.458
