"","Age","Mean Diff","Lower CI","Upper CI"
"",2,-0.804000000000001,-1.21998492189824,-0.388015078101763
"",3,-0.488000000000001,-1.10360800031227,0.127608000312265
"",4,-1.67,-2.41648032982514,-0.923519670174863
"",5,-2.096,-2.58868600284172,-1.60331399715829
"",6,-4.66,-5.17349675061941,-4.14650324938059
"",7,-4.44,-5.11181049900887,-3.76818950099113
"",8,-4.41,-4.99963217035426,-3.82036782964575
"",9,-5.01,-5.7032024029086,-4.31679759709139
"",10,-4.456,-4.93135550376561,-3.98064449623439
"",11,-4.4,-4.8890572677269,-3.91094273227311
"",12,-4.46,-5.20072789556539,-3.7192721044346
"",13,-0.203999999999998,-0.91917257003286,0.511172570032864
"",14,0.015999999999999,-0.635769091158898,0.667769091158896
"",15,-0.173999999999999,-0.821534029474533,0.473534029474535
"",16,-0.209999999999999,-0.834330185708005,0.414330185708007
"",17,-0.0259999999999988,-0.552230530692282,0.500230530692285
"",18,-0.400000000000002,-0.983254706078155,0.183254706078151
"",19,-0.0179999999999964,-0.762865013804336,0.726865013804343
"",20,-0.0379999999999949,-0.787684820581168,0.711684820581178
"",21,0.15600000000001,-0.545787632603763,0.857787632603783
