Age,Mean Diff,Lower CI,Upper CI
2,-0.7004,-0.956434745,-0.444365255
3,-0.4884,-0.739453776,-0.237346224
4,-0.6196,-0.855031171,-0.384168829
5,-0.6908,-0.952821881,-0.428778119
6,-0.726,-0.94911605,-0.50288395
7,-0.8752,-1.125007893,-0.625392107
8,-0.5,-0.738853418,-0.261146582
9,-0.7308,-0.980135797,-0.481464203
10,-0.5472,-0.799439271,-0.294960729
11,-0.6356,-0.877606855,-0.393593145
12,-0.5976,-0.83486414,-0.36033586
13,-0.7956,-1.035883274,-0.555316726
14,-0.8488,-1.130947699,-0.566652301
15,-0.6776,-0.919512548,-0.435687452
16,-0.8316,-1.087470962,-0.575729038
17,-0.9624,-1.240894936,-0.683905064
18,-0.7512,-1.044393869,-0.458006131
19,-0.0404,-0.311991955,0.231191955
20,0.136,-0.14199683,0.41399683
21,-0.0512,-0.325252127,0.222852127
,-0.668,-0.921,-0.414
