A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
1,0.008038084,0.008038084,0.008038084,0.008038084,0.008038084,,,,,,,,
2,0.058655709,0.058655709,0.058655709,0.030871412,0.058655709,,,,,,,,
3,0.008038084,0.008038084,0.008038084,0.008038084,0.008038084,,,,,,,,
4,0.015191495,0.015191495,0.015191495,0.015191495,0.015191495,,,,,,,,
5,0.016350959,0.016350959,0.016350959,0.016350959,0.016350959,,,,,,,,
7,0.015476907,0.015476907,0.015476907,0.015476907,0.015476907,,,,,,,,
8,0.008777274,0.008777274,0.008777274,0.008777274,0.008777274,,,,,,,,
9,0.039028421,0.039028421,0.039028421,0.039028421,0.039028421,,,,,,,,
10,0.687374813,0.687374813,0.024444694,0.024444694,0.024444694,,,,,,,,
11,0.020292526,0.020292526,0.020292526,0.020292526,0.020292526,,,,,,,,
13,0.120334999,0.120334999,0.052273911,0.052273911,0.052273911,,,,,,,,
14,0.008450044,0.008450044,0.0163965,0.008450044,0.008450044,,,,,,,,
15,0.035394003,0.035394003,0.035394003,0.035394003,0.014579043,,,,,,,,
16,0.008777274,0.008777274,0.008777274,0.008777274,0.008777274,,,,,,,,
18,0.00971932,0.00971932,0.00971932,0.00971932,0.00971932,,,,,,,,
19,0.008450044,0.008450044,0.0163965,0.008450044,0.008450044,,,,,,,,
20,0.041853418,0.041853418,0.041853418,0.041853418,0.041853418,,,,,,,,
21,0.013538273,0.013538273,0.013538273,0.013538273,0.013538273,,,,,,,,
22,0.052273911,0.052273911,0.052273911,0.052273911,0.052273911,,,,,,,,
23,0.025222424,0.025222424,0.025222424,0.025222424,0.025222424,,,,,,,,
24,0.117384644,0.117384644,0.902002135,0.824730016,0.65484886,,,,,,,,
25,0.017422679,0.017422679,0.017422679,0.017422679,0.017422679,,,,,,,,
26,0.02217917,0.02217917,0.02217917,0.02217917,0.02217917,,,,,,,,
27,0.021302833,0.021302833,0.021302833,0.021302833,0.021302833,,,,,,,,
28,0.022798433,0.022798433,0.022798433,0.022798433,0.022798433,,,,,,,,
29,0.030871412,0.030871412,0.030871412,0.030871412,0.030871412,,,,,,,,
30,0.008038084,0.008038084,0.008038084,0.008038084,0.008038084,,,,,,,,
31,0.108833343,0.108833343,0.134080695,0.688369067,0.812059504,,,,,,,,
32,0.049550843,0.049550843,0.020588043,0.020588043,0.020588043,,,,,,,,
34,0.07223347,0.0304371,0.0304371,0.0304371,0.0304371,,,,,,,,
35,0.058508836,0.058508836,0.058508836,0.024444694,0.024444694,,,,,,,,
36,0.745968447,0.745968447,0.076637379,0.745968447,0.745968447,,,,,,,,
37,0.024444694,0.024444694,0.024444694,0.024444694,0.024444694,,,,,,,,
38,0.048860339,0.020292526,0.020292526,0.020292526,0.020292526,,,,,,,,
39,0.189999107,0.189999107,0.189999107,0.189999107,0.892462603,,,,,,,,
40,0.064769558,0.064769558,0.496974586,0.027165565,0.496974586,,,,,,,,
41,0.015476907,0.015476907,0.015476907,0.015476907,0.015476907,,,,,,,,
